symbol,direction,module,event_start,event_end,duration_bars,dominant_blocker,blocker_changed,unique_blocker_count,blocker_sequence,max_followup_bars,observed_followup_bars,followup_complete,event_open_at_data_end,converted,conversion_time,conversion_bar_position,bars_to_conversion,final_signal_at_conversion,status,converted_within_1_bar,converted_within_3_bars,converted_within_5_bars,blocker_transition_path
MA,Long,Pullback,2025-07-31,2025-07-31,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MA,Long,Pullback,2025-08-04,2025-08-04,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MA,Long,Pullback,2025-08-08,2025-08-08,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MA,Long,Pullback,2025-09-05,2025-09-05,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MA,Long,Breakout,2021-11-10,2021-11-10,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MA,Long,Breakout,2022-01-28,2022-02-02,4,Trend,False,1,Trend -> Trend -> Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MA,Long,Breakout,2022-04-28,2022-04-28,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MA,Long,Breakout,2022-11-10,2022-11-11,2,Trend,False,1,Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MA,Long,Breakout,2022-11-30,2022-12-01,2,Trend,False,1,Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MA,Long,Breakout,2022-12-13,2022-12-16,4,Price,False,1,Price -> Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MA,Long,Breakout,2023-01-05,2023-01-05,1,Price,False,1,Price,5,5,True,False,True,2023-01-06,324,1,True,converted,True,True,True,Price
MA,Long,Breakout,2023-01-09,2023-01-09,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
MA,Long,Breakout,2023-01-11,2023-01-12,2,RSI,False,1,RSI -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
MA,Long,Breakout,2023-01-25,2023-01-27,3,Price,False,1,Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MA,Long,Breakout,2023-03-02,2023-03-02,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MA,Long,Breakout,2023-03-06,2023-03-06,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MA,Long,Breakout,2023-04-28,2023-04-28,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MA,Long,Breakout,2023-05-05,2023-05-05,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MA,Long,Breakout,2023-05-18,2023-05-18,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MA,Long,Breakout,2023-07-11,2023-07-12,2,Volume,False,1,Volume -> Volume,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Volume
MA,Long,Breakout,2023-07-18,2023-07-18,1,Price,False,1,Price,5,5,True,False,True,2023-07-24,459,4,True,converted,False,False,True,Price
MA,Long,Breakout,2023-07-25,2023-07-31,5,Price,False,1,Price -> Price -> Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MA,Long,Breakout,2023-08-29,2023-08-30,2,Trend,True,2,Trend -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend -> RSI
MA,Long,Breakout,2023-09-06,2023-09-07,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MA,Long,Breakout,2023-09-13,2023-09-15,3,Price,False,1,Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MA,Long,Breakout,2023-09-21,2023-09-21,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MA,Long,Breakout,2023-10-06,2023-10-10,3,Price,False,1,Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MA,Long,Breakout,2023-10-30,2023-10-31,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MA,Long,Breakout,2023-11-02,2023-11-02,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MA,Long,Breakout,2023-11-08,2023-11-08,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
MA,Long,Breakout,2023-11-30,2023-11-30,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
MA,Long,Breakout,2023-12-14,2023-12-15,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MA,Long,Breakout,2023-12-20,2023-12-20,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MA,Long,Breakout,2024-01-03,2024-01-03,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MA,Long,Breakout,2024-01-10,2024-01-10,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MA,Long,Breakout,2024-01-16,2024-01-17,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MA,Long,Breakout,2024-01-19,2024-01-22,2,RSI,False,1,RSI -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
MA,Long,Breakout,2024-01-26,2024-01-26,1,Price,False,1,Price,5,5,True,False,True,2024-01-30,590,2,True,converted,False,True,True,Price
MA,Long,Breakout,2024-02-01,2024-02-01,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MA,Long,Breakout,2024-02-14,2024-02-15,2,Volume,False,1,Volume -> Volume,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Volume
MA,Long,Breakout,2024-02-20,2024-02-21,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MA,Long,Breakout,2024-02-28,2024-02-29,2,Volume,True,2,Volume -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Volume -> Price
MA,Long,Breakout,2024-03-04,2024-03-04,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MA,Long,Breakout,2024-03-15,2024-03-15,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MA,Long,Breakout,2024-03-19,2024-03-19,1,Volume,False,1,Volume,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Volume
MA,Long,Breakout,2024-03-21,2024-03-21,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
MA,Long,Breakout,2024-04-12,2024-04-12,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MA,Long,Breakout,2024-04-24,2024-04-24,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MA,Long,Breakout,2024-04-30,2024-04-30,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MA,Long,Breakout,2024-06-17,2024-06-21,4,Price,True,2,Price -> Price -> Price -> Trend,5,5,True,False,True,2024-06-24,690,1,True,converted,True,True,True,Price -> Trend
MA,Long,Breakout,2024-07-17,2024-07-17,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MA,Long,Breakout,2024-07-31,2024-07-31,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MA,Long,Breakout,2024-08-29,2024-08-29,1,Volume,False,1,Volume,5,5,True,False,True,2024-08-30,738,1,True,converted,True,True,True,Volume
MA,Long,Breakout,2024-09-03,2024-09-06,4,Price,False,1,Price -> Price -> Price -> Price,5,5,True,False,True,2024-09-09,743,1,True,converted,True,True,True,Price
MA,Long,Breakout,2024-09-10,2024-09-11,2,Price,False,1,Price -> Price,5,5,True,False,True,2024-09-12,746,1,True,converted,True,True,True,Price
MA,Long,Breakout,2024-09-16,2024-09-17,2,Volume,True,2,Volume -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Volume -> RSI
MA,Long,Breakout,2024-10-15,2024-10-15,1,Price,False,1,Price,5,5,True,False,True,2024-10-16,770,1,True,converted,True,True,True,Price
MA,Long,Breakout,2024-10-18,2024-10-18,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MA,Long,Breakout,2024-11-06,2024-11-06,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MA,Long,Breakout,2024-11-11,2024-11-13,3,Price,True,2,Volume -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Volume -> Price
MA,Long,Breakout,2024-11-25,2024-11-25,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MA,Long,Breakout,2024-11-27,2024-11-27,1,Volume,False,1,Volume,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Volume
MA,Long,Breakout,2024-12-16,2024-12-20,5,Price,False,1,Price -> Price -> Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MA,Long,Breakout,2025-01-02,2025-01-02,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MA,Long,Breakout,2025-01-15,2025-01-16,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MA,Long,Breakout,2025-01-21,2025-01-21,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
