module,scenario,status,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit,year_eligible_groups,year_wr_min,year_wr_max,year_wr_std,symbol_eligible_groups,symbol_wr_min,symbol_wr_max,symbol_wr_std,discovery_survived,holdout_survived,discovery_failed,holdout_failed,leave_groups_passed,untouched_confirmation
breakout,skip_bars_since_rsi_up_5,TAIL-SENSITIVE,517,2,204,313,0,0.3945841392649903,0.07298943970818468,0.04168419586511518,-0.043948489645113976,-0.04023518231209178,0.002193362556187622,-0.014340356869460558,0.002193362556187622,1.0824351962586483,11.899419729206963,10.0,-0.21953813037602288,-0.08562959934291733,-0.11301150441792968,0.16727951851358255,6,0.24,0.4620253164556962,0.07035432559267131,48,0.08333333333333333,0.7142857142857143,0.13307078956690996,False,False,"wr,expectancy,symbol,year,tail","wr,expectancy,pf,symbol,year,tail",False,False
breakout,skip_candle_range_atr_3,TAIL-SENSITIVE,483,1,193,290,0,0.3995859213250518,0.0735714880959361,0.04001896200604449,-0.0432597784572506,-0.03923745209860158,0.0034243508279772146,-0.013197638432546288,0.0034243508279772146,1.131838755257695,12.045548654244307,10.0,-0.21953813037602288,-0.0833708372156273,-0.10969840574261971,0.1553761011405111,6,0.22727272727272727,0.46308724832214765,0.07881964413957755,46,0.1,0.7142857142857143,0.13763846266569174,False,False,"wr,symbol,year,tail","wr,expectancy,pf,symbol,year,tail",False,False
breakout,skip_distance_to_upper_band_atr_1,MIXED,479,2,196,283,0,0.4091858037578288,0.07216394848160419,0.04075384988069508,-0.04280543899079723,-0.03784418252842414,0.004238402229642599,-0.012918284667216007,0.004238402229642599,1.1675916172861747,12.008350730688935,10.0,-0.21953813037602288,-0.08401964216819108,-0.11265000352206082,0.15074718430778397,6,0.15789473684210525,0.4866666666666667,0.10212399433393714,46,0.09090909090909091,0.8333333333333334,0.1489318472310599,False,False,"wr,symbol,year","wr,expectancy,pf,symbol,year,tail",False,False
breakout,time_10,TAIL-SENSITIVE,547,2,223,324,0,0.4076782449725777,0.07051215528356179,0.0387848477951076,-0.04358127523099453,-0.04012459533558277,0.002932134284080534,-0.013197638432546288,0.002932134284080534,1.1135863745941654,12.06764168190128,10.0,-0.21953813037602288,-0.08377501175717122,-0.11096494859754368,0.14030792962673477,6,0.24,0.47305389221556887,0.07114461852830097,48,0.07692307692307693,0.7142857142857143,0.13292167516133752,False,False,"wr,tail","wr,expectancy,pf,symbol,year,tail",True,False
breakout,time_15,TAIL-SENSITIVE,547,2,223,324,0,0.4076782449725777,0.07051215528356179,0.0387848477951076,-0.04358127523099453,-0.04012459533558277,0.002932134284080534,-0.013197638432546288,0.002932134284080534,1.1135863745941654,12.06764168190128,10.0,-0.21953813037602288,-0.08377501175717122,-0.11096494859754368,0.14030792962673477,6,0.24,0.47305389221556887,0.07114461852830097,48,0.07692307692307693,0.7142857142857143,0.13292167516133752,False,False,"wr,tail","wr,expectancy,pf,symbol,year,tail",True,False
breakout,time_5,TAIL-SENSITIVE,557,2,225,332,0,0.40394973070017953,0.06924744128641269,0.037686768342197974,-0.042741587477697095,-0.03791498216447042,0.0024963505329397132,-0.012789679649683805,0.0024963505329397132,1.0979878054403003,11.648114901256733,9.0,-0.21953813037602288,-0.08413176685329915,-0.1112295045668229,0.14160051081724667,6,0.24,0.47337278106508873,0.07507350701932394,48,0.07692307692307693,0.7142857142857143,0.13086551960524634,False,False,"wr,symbol,tail","wr,expectancy,pf,symbol,year,tail",False,False
meanrev,baseline,LOW SAMPLE,55,1,27,28,0,0.4909090909090909,0.07108036438966457,0.0490759380865573,-0.04219863723405393,-0.03617615528855134,0.013411054472135153,-0.00011654540743621933,0.013411054472135153,1.6242652474062345,11.49090909090909,10.0,-0.10417027794415878,-0.07655268796579942,-0.09004899240364495,0.5006502257849995,5,0.2857142857142857,0.625,0.12556995206658042,0,,,,False,False,"sample,wr,symbol,tail","sample,wr,symbol,year,tail",True,False
meanrev,breakeven_1,LOW SAMPLE,56,1,16,25,15,0.2857142857142857,0.06988684615803077,0.06191323211066957,-0.036961381627182176,-0.03226875185625433,0.0034670535330167495,0.0,0.0034670535330167495,1.2101166020332448,7.464285714285714,5.0,-0.10417027794415878,-0.0692366567804194,-0.08874714799162131,0.6245523001551821,5,0.0,0.42105263157894735,0.13935497372509123,0,,,,False,False,"sample,wr,expectancy,symbol,year,tail","sample,wr,expectancy,pf,winner_size,symbol,year,tail",False,False
meanrev,breakeven_2,LOW SAMPLE,55,1,21,24,10,0.38181818181818183,0.0610701502309934,0.0490759380865573,-0.043719280520705533,-0.04136518409891704,0.004240189497344157,0.0,0.004240189497344157,1.2222612269845488,9.309090909090909,8.0,-0.10417027794415878,-0.07655268796579942,-0.09004899240364495,0.5452386378648206,5,0.125,0.5263157894736842,0.131983933976151,0,,,,False,False,"sample,wr,expectancy,symbol,year,tail","sample,wr,expectancy,pf,winner_size,symbol,year,tail",False,False
meanrev,breakeven_3,LOW SAMPLE,55,1,23,25,7,0.41818181818181815,0.06185923170413175,0.0490759380865573,-0.04451544090725866,-0.0429881023642531,0.005634114663882978,0.0,0.005634114663882978,1.2784438839180725,10.072727272727272,9.0,-0.10417027794415878,-0.07655268796579942,-0.09004899240364495,0.5063787962695995,5,0.125,0.625,0.17603082011896068,0,,,,False,False,"sample,wr,symbol,year,tail","sample,wr,expectancy,pf,winner_size,symbol,year,tail",False,False
