module,scenario,removed_top,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit
pullback,early_3,0,363,0,155,208,0,0.42699724517906334,0.059224786582557906,0.02950535400509713,-0.027289495583177205,-0.0215418122129159,0.009651864570235856,-0.006786271286123524,0.009651864570235856,1.6172470191514776,5.856749311294766,4.0,-0.1245550227332578,-0.06676116555876993,-0.08321957411186114,0.17721480819239438
pullback,early_3,1,362,0,154,208,0,0.425414364640884,0.057159507008772203,0.029334691179618733,-0.027289495583177205,-0.0215418122129159,0.008636323199033312,-0.006799386122525564,0.008636323199033312,1.5507805735461266,5.856353591160221,4.0,-0.1245550227332578,-0.0668576784234782,-0.08321957411186114,0.17319113363889163
pullback,early_3,3,360,0,152,208,0,0.4222222222222222,0.053582390010417924,0.028318019073500622,-0.027289495583177205,-0.0215418122129159,0.006856411667451849,-0.006894329248970543,0.006856411667451849,1.4348510697584393,5.847222222222222,4.0,-0.1245550227332578,-0.06696210344610526,-0.08412320649095416,0.16308308978290798
pullback,early_3,5,358,0,150,208,0,0.41899441340782123,0.05035358663436422,0.02742325651397992,-0.027289495583177205,-0.0215418122129159,0.005242522105736801,-0.007091409459435372,0.005242522105736801,1.3306468988528268,5.835195530726257,4.0,-0.1245550227332578,-0.06697792776194285,-0.08412320649095416,0.1526277108431639
pullback,lock25_1,0,365,0,207,158,0,0.5671232876712329,0.029733391446302892,0.0074054214815442165,-0.027321407261080278,-0.021186964003865716,0.005035697759271273,0.002805781494384485,0.005035697759271273,1.425786971470692,3.9917808219178084,2.0,-0.1126027235719641,-0.06074770572998076,-0.07868251878685091,0.2448118473917908
pullback,lock25_1,1,364,0,206,158,0,0.5659340659340659,0.02804628246815118,0.007386524381048476,-0.027321407261080278,-0.021186964003865716,0.0040130545087595,0.0027762954920503846,0.0040130545087595,1.3383890415783406,3.9862637362637363,2.0,-0.1126027235719641,-0.0608431289096223,-0.07868251878685091,0.2316266202481062
pullback,lock25_1,3,362,0,204,158,0,0.56353591160221,0.025350263241768617,0.007348943013073983,-0.027321407261080278,-0.021186964003865716,0.0023609705913539046,0.002714240668983403,0.0023609705913539046,1.1979880580762765,3.9502762430939224,2.0,-0.1126027235719641,-0.06103397526890538,-0.07868251878685091,0.21242434874556132
pullback,lock25_1,5,360,0,202,158,0,0.5611111111111111,0.023010104584761455,0.007300994499582991,-0.027321407261080278,-0.021186964003865716,0.0009201632746420259,0.002678176169011448,0.0009201632746420259,1.0767374289978056,3.8666666666666667,2.0,-0.1126027235719641,-0.06125979988763564,-0.07965769213897891,0.19076698686092683
pullback,lock25_2,0,364,0,189,175,0,0.5192307692307693,0.03782424900959414,0.01084313613879484,-0.028265206799019654,-0.02208525231546077,0.006050472178529813,0.0018934074554574076,0.006050472178529813,1.4452464197707025,4.722527472527473,3.0,-0.1126027235719641,-0.06496488883924487,-0.08008635891505919,0.2275637560753785
pullback,lock25_2,1,363,0,188,175,0,0.5179063360881543,0.036018644797168806,0.010833214712547501,-0.028265206799019654,-0.02208525231546077,0.0050278072507969574,0.001665622089356944,0.0050278072507969574,1.3689733752406859,4.7190082644628095,3.0,-0.1126027235719641,-0.06498457055750359,-0.08008635891505919,0.21845608869294808
pullback,lock25_2,3,361,0,186,175,0,0.5152354570637119,0.03286808830161474,0.010674657920969222,-0.028265206799019654,-0.02208525231546077,0.003232834443966487,0.0014914952198450404,0.003232834443966487,1.2359393890810721,4.703601108033241,3.0,-0.1126027235719641,-0.06502393399402107,-0.08008635891505919,0.19936017962223065
pullback,lock25_2,5,359,0,184,175,0,0.5125348189415042,0.030010756182997016,0.010396699703261847,-0.028265206799019654,-0.02208525231546077,0.0016032533366100582,0.0013638878932888954,0.0016032533366100582,1.116360716033188,4.685236768802229,3.0,-0.1126027235719641,-0.0652169597234376,-0.08092316029956131,0.17588499719054626
pullback,lock25_3,0,363,0,174,189,0,0.4793388429752066,0.046375840772519814,0.0200456979444672,-0.028070244669690502,-0.02166027222636524,0.007614655790211964,-0.0027227873849396955,0.007614655790211964,1.5210134073069783,5.297520661157025,3.0,-0.1245550227332578,-0.06676116555876993,-0.08321957411186114,0.2016016893688926
pullback,lock25_3,1,362,0,173,189,0,0.47790055248618785,0.04446311244782018,0.01988063598170564,-0.028070244669690502,-0.02166027222636524,0.006593486770445818,-0.0029522140808577735,0.006593486770445818,1.4498997039491515,5.295580110497237,3.0,-0.1245550227332578,-0.0668576784234782,-0.08321957411186114,0.1923106819377209
pullback,lock25_3,3,360,0,171,189,0,0.475,0.041134957050909346,0.019817539768247627,-0.028070244669690502,-0.02166027222636524,0.004802226147594424,-0.0035298701884702854,0.004802226147594424,1.3258645420310915,5.283333333333333,3.0,-0.1245550227332578,-0.06696210344610526,-0.08412320649095416,0.17589938185192255
pullback,lock25_3,5,358,0,169,189,0,0.4720670391061452,0.038121848338914834,0.019589666808220052,-0.028070244669690502,-0.02166027222636524,0.003176860689120396,-0.003883485767421757,0.003176860689120396,1.2143745348411559,5.268156424581005,3.0,-0.1245550227332578,-0.06697792776194285,-0.08412320649095416,0.15711021609690523
pullback,lock25_4,0,363,0,165,198,0,0.45454545454545453,0.051903526503966145,0.023875827724626486,-0.027484857828076595,-0.0215418122129159,0.008600771413761015,-0.005009312803231469,0.008600771413761015,1.5737006545153371,5.595041322314049,3.0,-0.1245550227332578,-0.06676116555876993,-0.08321957411186114,0.18995660588455343
pullback,lock25_4,1,362,0,164,198,0,0.4530386740331492,0.04991953678176133,0.023771899019027543,-0.027484857828076595,-0.0215418122129159,0.007582326470303017,-0.005037826811088331,0.007582326470303017,1.504373621679362,5.593922651933702,3.0,-0.1245550227332578,-0.0668576784234782,-0.08321957411186114,0.18096492657401939
pullback,lock25_4,3,360,0,162,198,0,0.45,0.04647384712618187,0.02359787734158847,-0.027484857828076595,-0.0215418122129159,0.005796559401339717,-0.005255392662695035,0.005796559401339717,1.3834547363297858,5.583333333333333,3.0,-0.1245550227332578,-0.06696210344610526,-0.08412320649095416,0.16762005521433027
pullback,lock25_4,5,358,0,160,198,0,0.44692737430167595,0.043357987175078584,0.023445038843582844,-0.027484857828076595,-0.0215418122129159,0.004176748877244155,-0.0054945839185664425,0.004176748877244155,1.2747658195053035,5.569832402234637,3.0,-0.1245550227332578,-0.06697792776194285,-0.08412320649095416,0.15375063569426575
pullback,skip_bb_width_5,0,289,0,128,161,0,0.4429065743944637,0.05444283227587974,0.029600448475641028,-0.021063939141490517,-0.017143118499322263,0.012378506330562745,-0.005066340818945192,0.012378506330562745,2.054874073636839,6.031141868512111,4.0,-0.0894435172802529,-0.03941608024175478,-0.05472328140324398,0.2028291105217589
pullback,skip_bb_width_5,1,288,0,127,161,0,0.4409722222222222,0.05211731534091997,0.027472009792860907,-0.021063939141490517,-0.017143118499322263,0.011206961272627998,-0.005255392662695035,0.011206961272627998,1.9517324816062271,6.038194444444445,4.0,-0.0894435172802529,-0.03942524964668947,-0.05472328140324398,0.19223829252464777
pullback,skip_bb_width_5,3,286,0,125,161,0,0.4370629370629371,0.04813583695586434,0.027374503235098935,-0.021063939141490517,-0.017143118499322263,0.009180718243717028,-0.005640716223207054,0.009180718243717028,1.7742428882533805,6.020979020979021,4.0,-0.0894435172802529,-0.03944358845655885,-0.05472328140324398,0.17726682853321413
pullback,skip_bb_width_5,5,284,0,123,161,0,0.43309859154929575,0.04516447847136546,0.02673704460821491,-0.021063939141490517,-0.017143118499322263,0.00761949524717598,-0.005845481620526616,0.00761949524717598,1.638085793046856,5.883802816901408,4.0,-0.0894435172802529,-0.03946192726642823,-0.05472328140324398,0.16755305424821737
pullback,skip_candle_range_atr_4,0,299,0,129,170,0,0.431438127090301,0.062267016100752325,0.03279489753850107,-0.026588528937827823,-0.02025832415670764,0.011747140995205078,-0.006812500958927603,0.011747140995205078,1.777069992627135,6.026755852842809,4.0,-0.1245550227332578,-0.06466966306536384,-0.08517623433017767,0.19321892585436576
pullback,skip_candle_range_atr_4,1,298,0,128,170,0,0.42953020134228187,0.05980599403165228,0.032630864207320975,-0.026588528937827823,-0.02025832415670764,0.010520527908123363,-0.006894329248970543,0.010520527908123363,1.6936023655720176,6.026845637583893,4.0,-0.1245550227332578,-0.06468934478362257,-0.08517623433017767,0.18376357195167833
pullback,skip_candle_range_atr_4,3,296,0,126,170,0,0.42567567567567566,0.05594513292804086,0.032097859017281016,-0.026588528937827823,-0.02025832415670764,0.008544043342913572,-0.007091409459435372,0.008544043342913572,1.5595152431017694,5.996621621621622,4.0,-0.1245550227332578,-0.06472870822014004,-0.08517623433017767,0.1757885167903494
pullback,skip_candle_range_atr_4,5,294,0,124,170,0,0.4217687074829932,0.052261489251899114,0.03061712058175914,-0.026588528937827823,-0.02025832415670764,0.006667941319063812,-0.00721626727157515,0.006667941319063812,1.433706437483694,5.95578231292517,4.0,-0.1245550227332578,-0.06476807165665752,-0.08517623433017767,0.16720090641062674
pullback,skip_rsi_distance_from_avg_2,0,282,0,121,161,0,0.42907801418439717,0.0632132107219598,0.02950535400509713,-0.02790880829471648,-0.02116890958104045,0.011189646673431851,-0.006023411310024818,0.011189646673431851,1.7022606160496623,6.024822695035461,4.0,-0.1245550227332578,-0.07003901752511808,-0.08681319429278551,0.21268751238563094
pullback,skip_rsi_distance_from_avg_2,1,281,0,120,161,0,0.42704626334519574,0.06059600547009649,0.029334691179618733,-0.02790880829471648,-0.02116890958104045,0.009886841711609345,-0.006127153517882955,0.009886841711609345,1.6182964208663564,6.02491103202847,4.0,-0.1245550227332578,-0.07018714442180907,-0.08681319429278551,0.20965711628523517
pullback,skip_rsi_distance_from_avg_2,3,279,0,118,161,0,0.4229390681003584,0.05604643948003547,0.028318019073500622,-0.02790880829471648,-0.02116890958104045,0.007599145961271797,-0.006786271286123524,0.007599145961271797,1.4718476767687865,6.014336917562724,4.0,-0.1245550227332578,-0.07048258671508104,-0.08800076928356952,0.2008373881767243
pullback,skip_rsi_distance_from_avg_2,5,277,0,116,161,0,0.4187725631768953,0.05191374631220081,0.02742325651397992,-0.02790880829471648,-0.02116890958104045,0.005518687497349968,-0.006812500958927603,0.005518687497349968,1.3402110401900278,6.0,4.0,-0.1245550227332578,-0.07077802900835302,-0.08800076928356952,0.1914320720963077
pullback,time_10,0,363,0,155,208,0,0.42699724517906334,0.059224786582557906,0.02950535400509713,-0.027289495583177205,-0.0215418122129159,0.009651864570235856,-0.006786271286123524,0.009651864570235856,1.6172470191514776,5.856749311294766,4.0,-0.1245550227332578,-0.06676116555876993,-0.08321957411186114,0.17721480819239438
pullback,time_10,1,362,0,154,208,0,0.425414364640884,0.057159507008772203,0.029334691179618733,-0.027289495583177205,-0.0215418122129159,0.008636323199033312,-0.006799386122525564,0.008636323199033312,1.5507805735461266,5.856353591160221,4.0,-0.1245550227332578,-0.0668576784234782,-0.08321957411186114,0.17319113363889163
