module,scenario,year,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit
breakout,breakeven_3,2021,25,0,6,15,4,0.24,0.03328220856384142,0.01873229938978971,-0.04507088165773777,-0.049370320638020826,-0.01905479893932072,-0.01730275225456479,-0.01905479893932072,0.2953765920674199,7.64,6.0,-0.10933888191320018,-0.06794157120240289,-0.08934627957761432,0.9769502562916014
breakout,breakeven_3,2022,37,0,8,19,10,0.21621621621621623,0.05461743032807881,0.03219103192603101,-0.03279312221700408,-0.030899963378906214,-0.005030537283741812,-0.002772491553326595,-0.005030537283741812,0.7012693886705594,8.0,7.0,-0.09928727415436644,-0.0712838142091676,-0.0932861727078606,0.8740937898723453
breakout,breakeven_3,2023,116,0,45,55,16,0.3879310344827586,0.0667813478847792,0.03119807554154752,-0.04159978868479382,-0.03862984407277825,0.006182519630615551,0.0,0.006182519630615551,1.313451014066659,11.612068965517242,10.0,-0.13822502620668287,-0.07178078219395567,-0.09584945816465568,0.5372773697736624
breakout,breakeven_3,2024,176,0,68,77,31,0.38636363636363635,0.06480943399446133,0.03337399794655482,-0.04078371947211869,-0.03281446422583656,0.007197131319717226,0.0,0.007197131319717226,1.4033615885595139,10.5,7.0,-0.1437077899233894,-0.0797665215391645,-0.10567601598010376,0.2821206950090277
breakout,breakeven_3,2025,123,0,37,64,22,0.3008130081300813,0.07016401316586766,0.04539057134453861,-0.0442178377123034,-0.041883113259989,-0.0019014075321163767,-0.002345290269602729,-0.0019014075321163767,0.9173576142605142,9.967479674796747,7.0,-0.16202942358134653,-0.08237591081952444,-0.10823174177147911,0.39822152875079425
breakout,breakeven_3,2026,102,1,27,50,25,0.2647058823529412,0.08609384206666802,0.04353303278555676,-0.05190761105103274,-0.0468345816752902,-0.002655360948545101,0.0,-0.002655360948545101,0.8956427347483519,9.137254901960784,6.5,-0.21953813037602288,-0.08550229641900864,-0.1252559125953449,0.5413757077610504
breakout,breakeven_4,2021,25,0,6,14,5,0.24,0.03328220856384142,0.01873229938978971,-0.05404240756860627,-0.049972999239801474,-0.022276018183097566,-0.021360495159926107,-0.022276018183097566,0.2639372358107844,8.0,7.0,-0.10933888191320018,-0.0760733019650763,-0.09343323853533242,0.9769502562916014
breakout,breakeven_4,2022,36,0,8,20,8,0.2222222222222222,0.05461743032807881,0.03219103192603101,-0.030323437131010555,-0.02418437331988088,-0.004709147222099462,-0.00514475969479905,-0.004709147222099462,0.7204649010217086,8.61111111111111,7.0,-0.09928727415436644,-0.053699449736884675,-0.0932861727078606,0.8740937898723453
breakout,breakeven_4,2023,114,0,45,57,12,0.39473684210526316,0.0700675440952231,0.03297491520671181,-0.04169306636809703,-0.03862984407277825,0.00681170790617113,-0.0010493108755998404,0.00681170790617113,1.3267549499013753,12.035087719298245,10.0,-0.13822502620668287,-0.07197761905552576,-0.09584945816465568,0.5120788434187499
breakout,breakeven_4,2024,173,0,73,80,20,0.42196531791907516,0.06450854698663694,0.03290221075156796,-0.04221254401542273,-0.03452370322532422,0.007700117969888311,0.0,0.007700117969888311,1.3944681728682284,11.508670520231213,9.0,-0.1437077899233894,-0.08026361232667038,-0.10567601598010376,0.2767836079596546
