module,scenario,symbol,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit
breakout,lock25_1,AMD,12,0,9,3,0,0.75,0.02391660723050748,0.010704412561664878,-0.04027172585068713,-0.03474262395654659,0.007869523960208827,0.005469518119158745,0.007869523960208827,1.7816425836216856,4.333333333333333,3.0,-0.06913643888795018,-0.05021984067567821,-0.06913643888795018,0.9261299344034438
breakout,lock25_1,AMZN,15,0,9,6,0,0.6,0.005667563340791289,0.0037296733485427946,-0.017539640445522458,-0.009952087293424172,-0.003615318173734209,0.0017039828027503034,-0.003615318173734209,0.48469323174507656,5.0,4.0,-0.042960881476811985,-0.03827959517400224,-0.042960881476811985,0.8104139709518445
breakout,lock25_1,ARM,6,0,3,3,0,0.5,0.13174719271403265,0.0286589363552876,-0.06538763858152956,-0.0786676514767285,0.033179777066251546,-0.006802471855290204,0.033179777066251546,2.014863903515367,4.666666666666667,3.5,-0.09651624328883923,-0.09205409533581155,-0.09651624328883923,1.0
breakout,lock25_1,ASML,13,0,7,6,0,0.5384615384615384,0.037515155140441854,0.011956109537383908,-0.030538710103963973,-0.03235944949942626,0.006105678873793012,0.0036861944703441285,0.006105678873793012,1.4331869567569278,6.384615384615385,5.0,-0.05891978217831295,-0.05454151491818968,-0.05891978217831295,0.9651427229826163
breakout,lock25_1,AVGO,20,0,12,8,0,0.6,0.045529160673297174,0.022810985453399102,-0.040044555684388305,-0.044654433112112646,0.01129967413022298,0.004004678040944176,0.01129967413022298,1.7054438448063647,7.35,6.5,-0.08111612892233,-0.06841054159418163,-0.08111612892233,0.8488237451231501
breakout,lock25_1,BAC,10,0,7,3,0,0.7,0.011609806578641508,0.0043811917454350535,-0.04043045859734199,-0.04175657731842508,-0.004002272974153542,0.0035071422780759143,-0.004002272974153542,0.6700282317667747,7.2,5.0,-0.05976674293466333,-0.051662168407356115,-0.05976674293466333,0.9497827039708315
breakout,lock25_1,CAT,24,0,16,8,0,0.6666666666666666,0.012954897568442467,0.007654340265814241,-0.026377089628606354,-0.014069484474184157,-0.00015576483057380686,0.005182109317511729,-0.00015576483057380686,0.9822840768901724,5.625,4.0,-0.07592847390996615,-0.04907191384529919,-0.06288965841915067,0.6326613819667153
breakout,lock25_1,COIN,10,0,5,5,0,0.5,0.011077314101359991,0.007208766046252535,-0.04017376248749771,-0.02459415320364411,-0.01454822419306886,-3.804352314784598e-05,-0.01454822419306886,0.27573504236271895,2.0,2.0,-0.10933888191320018,-0.08235302933936947,-0.10933888191320018,1.0
breakout,lock25_1,COP,15,0,8,7,0,0.5333333333333333,0.007591838903359155,0.005457229421096499,-0.025418183803050467,-0.021140187916271702,-0.007812838359632002,0.0034259985157034656,-0.007812838359632002,0.3413456832853449,2.6666666666666665,2.0,-0.058806527216633486,-0.04347563130152223,-0.058806527216633486,0.8117681325590539
breakout,lock25_1,COST,21,0,15,6,0,0.7142857142857143,0.00973076364672319,0.004141031901041536,-0.02524630262027853,-0.02333017529218334,-0.0002626838581344435,0.002965709585726284,-0.0002626838581344435,0.9635830435331917,5.428571428571429,3.0,-0.04041213320211934,-0.03971958441448509,-0.04006585880830221,0.7727568420080412
breakout,lock25_1,CRM,9,0,8,1,0,0.8888888888888888,0.014169470602423406,0.008061779168306193,-0.005640964190256947,-0.005640964190256947,0.011968311181014478,0.006614387600715421,0.011968311181014478,20.095104488550895,5.777777777777778,5.0,-0.005640964190256947,-0.002886386023407472,-0.005640964190256947,0.9491998174130751
breakout,lock25_1,CRWD,12,1,7,5,0,0.5833333333333334,0.03417145083485429,0.01196494791729763,-0.04377453653076331,-0.06043859113726702,0.00169395609918029,0.004223306097099533,0.00169395609918029,1.0928735050153096,5.25,3.0,-0.07103091126637961,-0.06850161808016857,-0.07103091126637961,0.9646880991176761
