feature,bin,group,group_value,observations,complete,median_feature,mean,median,positive_rate,mean_mfe,mean_mae
distance_to_breakout_atr,3,symbol,AAPL,1,1,2.8109909837871454,0.042859421144539445,0.042859421144539445,1.0,0.054729052622538354,-0.0316343483131003
distance_to_breakout_atr,3,symbol,DE,1,1,2.986082067141681,0.09399477076425766,0.09399477076425766,1.0,0.1262985462148225,-0.02613744777863436
distance_to_breakout_atr,3,symbol,HOOD,1,1,3.1640210723438402,0.12182740570672701,0.12182740570672701,1.0,0.15228431092214767,-0.01015230173847359
distance_to_breakout_atr,3,symbol,LLY,2,2,2.979230980545091,0.04861024799107949,0.04861024799107949,0.5,0.11706373995943731,-0.0912514945444709
distance_to_breakout_atr,3,symbol,META,1,1,3.1456350068207666,0.04414110227501,0.04414110227501,1.0,0.06757237171944985,0.0030533784160178268
distance_to_breakout_atr,3,symbol,ORCL,1,1,3.035209483862727,-0.034447093290441155,-0.034447093290441155,0.0,0.006305865119485388,-0.042447078929227944
distance_to_breakout_atr,3,symbol,SHOP,1,1,3.1905059636536683,0.01929364112276688,0.01929364112276688,1.0,0.17026886437204602,-0.020453293022888452
distance_to_breakout_atr,3,symbol,UBER,1,1,3.0802871302859183,-0.017259155526539116,-0.017259155526539116,0.0,0.08895115353089933,-0.05834196456174989
distance_to_breakout_atr,4,year,2022,2,2,3.7213403384185026,0.039782693894220233,0.039782693894220233,0.5,0.06392739558274052,-0.03816439775283065
distance_to_breakout_atr,4,year,2023,2,2,3.4920085581474676,0.12456252483817465,0.12456252483817465,1.0,0.13787337984151116,-0.018886616341352747
distance_to_breakout_atr,4,year,2024,5,5,3.586901372263258,0.019307425611589622,0.026956362697551084,0.8,0.041293041317851345,-0.017466864647427194
distance_to_breakout_atr,4,symbol,ABNB,1,1,3.438413521913879,0.11559649220760737,0.11559649220760737,1.0,0.1351903716418026,-0.022741574976450796
distance_to_breakout_atr,4,symbol,AVGO,1,1,3.5811852855521433,0.09732188568137623,0.09732188568137623,1.0,0.0980040010771972,-0.044389059942687825
distance_to_breakout_atr,4,symbol,BAC,1,1,3.611536334136817,0.026956362697551084,0.026956362697551084,1.0,0.04004194270226735,-0.007851328035819227
distance_to_breakout_atr,4,symbol,CAT,1,1,3.259768108592936,-0.045079867764082904,-0.045079867764082904,0.0,0.00889623459072797,-0.0483445851869404
distance_to_breakout_atr,4,symbol,GE,1,1,3.6155668401903145,0.04641986501712503,0.04641986501712503,1.0,0.053883431186797726,-0.009951452422809592
distance_to_breakout_atr,4,symbol,HD,1,1,3.861495391284862,-0.017756497892935763,-0.017756497892935763,0.0,0.02985079008828384,-0.03193973556297347
distance_to_breakout_atr,4,symbol,JPM,1,1,3.586901372263258,0.025349792129799154,0.025349792129799154,1.0,0.04946179919516047,0.0009687442025019255
distance_to_breakout_atr,4,symbol,NOW,1,1,3.4107378604392884,0.042890975977555756,0.042890975977555756,1.0,0.05418179891430319,-0.022155701794068672
distance_to_breakout_atr,4,symbol,XOM,1,1,3.545603594381056,0.13352855746874193,0.13352855746874193,1.0,0.14055638804121973,-0.015031657706254697
distance_to_breakout_atr,5,year,2022,1,1,5.1573301429777265,-0.058616309046247705,-0.058616309046247705,0.0,0.03130714161338455,-0.07298233880817462
distance_to_breakout_atr,5,year,2023,4,4,4.149586082185391,0.022875737503238208,0.03254065460904687,0.75,0.06195216805953618,-0.03865727212341949
distance_to_breakout_atr,5,year,2024,2,2,3.9281708910489064,-0.006985054005633928,-0.006985054005633928,0.5,0.0036297534529733944,-0.03855173382648508
distance_to_breakout_atr,5,year,2025,3,3,4.692975966702383,0.026293023132479904,0.030320128534197188,1.0,0.0533966274467926,-0.018676449235666137
distance_to_breakout_atr,5,symbol,CAT,1,1,4.200647587663719,-0.03321181434072462,-0.03321181434072462,0.0,0.039703041113590354,-0.052374172484424886
distance_to_breakout_atr,5,symbol,CRM,1,1,3.903602919639193,0.0018071418723286659,0.0018071418723286659,1.0,0.008168316558665456,-0.03661271198124916
distance_to_breakout_atr,5,symbol,CVX,1,1,5.1573301429777265,-0.058616309046247705,-0.058616309046247705,0.0,0.03130714161338455,-0.07298233880817462
distance_to_breakout_atr,5,symbol,HD,1,1,3.9527388624586197,-0.015777249883596522,-0.015777249883596522,0.0,-0.0009088096527186673,-0.040490755671721
distance_to_breakout_atr,5,symbol,JPM,1,1,4.871871743327912,0.044785766446261865,0.044785766446261865,1.0,0.09563756450718008,-0.008518308839883026
distance_to_breakout_atr,5,symbol,MA,1,1,4.45138468945304,0.030320128534197188,0.030320128534197188,1.0,0.05609133142208633,-0.012180643598002971
distance_to_breakout_atr,5,symbol,PANW,1,1,4.549487111020732,0.05963345513558371,0.05963345513558371,1.0,0.12291422979845246,-0.08283942040809855
distance_to_breakout_atr,5,symbol,V,2,2,4.002800453531703,0.03254065460904687,0.03254065460904687,1.0,0.04259570066305096,-0.00970774780057726
distance_to_breakout_atr,5,symbol,WMT,1,1,4.692975966702383,0.0037731744169806625,0.0037731744169806625,1.0,0.00846098641111137,-0.03533039526911241
bb_width,1,year,2023,3,3,0.11875703572671138,0.06620328889561189,0.03805077566994153,1.0,0.07524926312244055,-0.011482384435803072
bb_width,1,year,2024,5,5,0.11510638001150145,-0.011847892175420083,-0.015777249883596522,0.4,0.016161000212807197,-0.0428021396342263
bb_width,1,year,2025,2,2,0.10290520365709663,0.05349111053595634,0.05349111053595634,1.0,0.09299738479778885,-0.0023937801772342393
bb_width,1,symbol,AAPL,1,1,0.11510638001150145,0.042859421144539445,0.042859421144539445,1.0,0.054729052622538354,-0.0316343483131003
bb_width,1,symbol,CAT,1,1,0.07991841632001193,0.0766620925377155,0.0766620925377155,1.0,0.12990343817349137,0.007393083243534493
bb_width,1,symbol,COP,2,2,0.0938124409631684,-0.05461018814184826,-0.05461018814184826,0.0,-0.003820745691600791,-0.06889549046622867
