module,symbol,signal_time,closed_a,return_pct_a,closed_b,return_pct_b,_merge,matched_closed,loser_to_win,loser_to_nonloss,winner_destroyed,scenario
meanrev,TSLA,2023-08-21,True,0.07284205647065445,True,0.07284205647065445,both,True,False,False,False,breakeven_4
meanrev,TSM,2025-03-05,True,-0.0429881023642531,True,-0.0429881023642531,both,True,False,False,False,breakeven_4
meanrev,UBER,2024-05-01,True,-0.05701756489586263,True,-0.05701756489586263,both,True,False,False,False,breakeven_4
meanrev,UBER,2024-08-06,True,0.07469704448944636,True,0.07469704448944636,both,True,False,False,False,breakeven_4
meanrev,V,2023-10-02,True,0.018658578840074824,True,0.018658578840074824,both,True,False,False,False,breakeven_4
meanrev,WMT,2025-03-17,True,-0.020585578699680362,True,-0.020585578699680362,both,True,False,False,False,breakeven_4
meanrev,WMT,2026-06-03,True,-0.02330407598334827,True,-0.02330407598334827,both,True,False,False,False,breakeven_4
meanrev,XOM,2023-03-20,True,0.10229528307590563,True,0.10229528307590563,both,True,False,False,False,breakeven_4
meanrev,AAPL,2023-08-21,True,0.037993891268263136,True,0.006339666716190573,both,True,False,False,False,lock25_1
meanrev,AAPL,2024-01-10,True,-0.02874775392887874,True,-0.02874775392887874,both,True,False,False,False,lock25_1
meanrev,AAPL,2025-01-27,True,-0.0037253653351255744,True,-0.0037253653351255744,both,True,False,False,False,lock25_1
meanrev,AAPL,2026-01-26,True,0.039319868057414054,True,-0.005864951392896556,both,True,False,False,True,lock25_1
meanrev,ABNB,2023-08-22,True,0.12532321566664706,True,0.004501568174230641,both,True,False,False,False,lock25_1
meanrev,ABNB,2023-08-25,,,True,0.12443714791499572,right_only,False,False,False,False,lock25_1
meanrev,AMD,2024-04-23,True,-0.05397289908030123,True,0.003305453750157339,both,True,True,True,False,lock25_1
meanrev,AMZN,2025-03-05,True,-0.06005137675699679,True,-0.06005137675699679,both,True,False,False,False,lock25_1
meanrev,AVGO,2022-01-26,True,0.007077589132747919,True,0.011689959362211955,both,True,False,False,False,lock25_1
meanrev,BAC,2024-08-08,True,0.030453721903250353,True,0.003734274745174515,both,True,False,False,False,lock25_1
meanrev,CAT,2023-03-21,True,-0.014430185704441323,True,0.009637171920277021,both,True,True,True,False,lock25_1
meanrev,CAT,2024-12-24,True,-0.024303293320019015,True,-0.009478130586982547,both,True,False,False,False,lock25_1
meanrev,CAT,2025-01-13,True,0.07562377326068126,True,0.07562377326068126,both,True,False,False,False,lock25_1
meanrev,CAT,2026-08-03,True,-0.07928656123104905,True,-0.051084572219021185,both,True,False,False,False,lock25_1
meanrev,COP,2024-05-17,True,-0.03226875185625433,True,-0.03226875185625433,both,True,False,False,False,lock25_1
meanrev,COP,2024-05-28,True,-0.03674302511131333,True,-0.03674302511131333,both,True,False,False,False,lock25_1
meanrev,CRM,2024-04-23,True,0.004226827778222031,True,0.010809342638194108,both,True,False,False,False,lock25_1
meanrev,CRWD,2025-03-12,True,0.024214218157369016,True,0.025023805947057554,both,True,False,False,False,lock25_1
meanrev,CRWD,2026-01-07,True,-0.057948482864196516,True,-0.057948482864196516,both,True,False,False,False,lock25_1
meanrev,CVX,2022-06-27,True,-0.06718853304223316,True,-0.06718853304223316,both,True,False,False,False,lock25_1
meanrev,CVX,2022-10-03,True,-0.00011654540743621933,True,0.005585074743664542,both,True,True,True,False,lock25_1
meanrev,DE,2022-02-28,True,0.03527910502502296,True,0.020533343530648507,both,True,False,False,False,lock25_1
meanrev,GE,2024-12-19,True,0.20502227349152014,True,0.013264616825445996,both,True,False,False,False,lock25_1
meanrev,GE,2026-03-25,True,-0.0611915456711396,True,-0.0611915456711396,both,True,False,False,False,lock25_1
