blocker,feature,bin,observations,complete,positive,positive_rate,median_feature,mean
sq_long_fail_recent,bars_since_oversold,3,109,87,53,0.6091954022988506,125.0,0.0048066754908810206
sq_long_fail_recent,bars_since_oversold,4,114,114,74,0.6491228070175439,197.0,0.021549712052296943
sq_long_fail_recent,bars_since_oversold,5,127,127,77,0.6062992125984252,375.0,0.023128474448407748
sq_long_fail_recent,bars_since_squeeze,1,0,0,0,,,
sq_long_fail_recent,bars_since_squeeze,2,0,0,0,,,
sq_long_fail_recent,bars_since_squeeze,3,0,0,0,,,
sq_long_fail_recent,bars_since_squeeze,4,561,539,308,0.5714285714285714,18.0,0.009904232507940845
sq_long_fail_release,rsi,1,90,85,41,0.4823529411764706,63.43376422293996,-0.01511689457846706
sq_long_fail_release,rsi,2,46,46,21,0.45652173913043476,68.42630429783648,-0.001799335515407259
sq_long_fail_release,rsi,3,31,30,18,0.6,71.0577071812184,0.0029508722799022205
sq_long_fail_release,rsi,4,20,20,11,0.55,73.363954077076,0.0006805588427146126
sq_long_fail_release,rsi,5,14,14,9,0.6428571428571429,76.2608197042953,0.026010016532340665
sq_long_fail_release,rsi_distance_from_avg,1,117,116,56,0.4827586206896552,5.128803054245566,-0.010727562500476746
sq_long_fail_release,rsi_distance_from_avg,2,34,32,19,0.59375,7.413542839526727,0.009805335986237621
sq_long_fail_release,rsi_distance_from_avg,3,26,25,14,0.56,9.353973802679548,-0.008932328240516325
sq_long_fail_release,rsi_distance_from_avg,4,10,9,6,0.6666666666666666,11.227737335968136,0.020403844423623925
sq_long_fail_release,rsi_distance_from_avg,5,14,13,5,0.38461538461538464,14.311815713048627,0.005297862193975869
sq_long_fail_release,htf_adx,1,24,20,10,0.5,19.08475754544188,0.006551186531212149
sq_long_fail_release,htf_adx,2,29,27,14,0.5185185185185185,22.0986190479586,-0.00048001943759498107
sq_long_fail_release,htf_adx,3,35,35,15,0.42857142857142855,25.36748329405282,-0.013767194406055158
sq_long_fail_release,htf_adx,4,63,63,38,0.6031746031746031,31.11289398719327,0.00339275415750262
sq_long_fail_release,htf_adx,5,50,50,23,0.46,41.47935792890138,-0.015027656193884369
sq_long_fail_release,adx_margin,1,24,20,10,0.5,1.0847575454418816,0.006551186531212149
sq_long_fail_release,adx_margin,2,29,27,14,0.5185185185185185,4.0986190479586,-0.00048001943759498107
sq_long_fail_release,adx_margin,3,35,35,15,0.42857142857142855,7.367483294052821,-0.013767194406055158
sq_long_fail_release,adx_margin,4,63,63,38,0.6031746031746031,13.11289398719327,0.00339275415750262
sq_long_fail_release,adx_margin,5,50,50,23,0.46,23.47935792890138,-0.015027656193884369
sq_long_fail_release,ema_spread_pct,1,48,47,30,0.6382978723404256,2.7313838783841695,0.03154935299764819
sq_long_fail_release,ema_spread_pct,2,16,14,10,0.7142857142857143,5.665634491230715,0.013278454478214812
sq_long_fail_release,ema_spread_pct,3,35,34,17,0.5,9.036078008376455,-0.019073153169595746
sq_long_fail_release,ema_spread_pct,4,43,42,22,0.5238095238095238,12.21028901838185,-0.008799789885854186
sq_long_fail_release,ema_spread_pct,5,59,58,21,0.3620689655172414,21.092068175485785,-0.0267597839101146
sq_long_fail_release,atr_pct,1,45,44,25,0.5681818181818182,1.5387752681862918,0.0016823601730833698
sq_long_fail_release,atr_pct,2,36,35,20,0.5714285714285714,1.9215032486783747,0.003957869449911595
sq_long_fail_release,atr_pct,3,31,30,14,0.4666666666666667,2.259683593925842,-0.016343526587620377
sq_long_fail_release,atr_pct,4,41,40,17,0.425,2.8537426181870225,-0.020682268791190433
sq_long_fail_release,atr_pct,5,48,46,24,0.5217391304347826,3.9095125383739555,0.004426508146507589
sq_long_fail_release,candle_range_atr,1,33,33,22,0.6666666666666666,0.6327525013691797,0.01150473202877534
sq_long_fail_release,candle_range_atr,2,36,35,16,0.45714285714285713,0.7608236926329508,-0.02263252139379617
sq_long_fail_release,candle_range_atr,3,55,53,26,0.49056603773584906,0.8982974967678473,-0.010014770190408908
sq_long_fail_release,candle_range_atr,4,45,43,24,0.5581395348837209,1.0902889287968265,0.018904807672758504
sq_long_fail_release,candle_range_atr,5,32,31,12,0.3870967741935484,1.3903427813153826,-0.024873216586386106
sq_long_fail_release,volume_ratio,1,65,64,30,0.46875,0.7763166219765081,-0.009803552892968298
sq_long_fail_release,volume_ratio,2,48,46,28,0.6086956521739131,0.9317262042270285,-9.097394450196118e-05
sq_long_fail_release,volume_ratio,3,44,44,20,0.45454545454545453,1.072136665948146,0.0008275276248399143
sq_long_fail_release,volume_ratio,4,21,21,10,0.47619047619047616,1.3492921155756405,-0.011674689392379008
sq_long_fail_release,volume_ratio,5,23,20,12,0.6,1.5992760245228947,-0.0030529223915120585
sq_long_fail_release,distance_to_breakout_atr,1,49,47,24,0.5106382978723404,-0.6370064141454611,0.004610414331391334
sq_long_fail_release,distance_to_breakout_atr,2,42,42,26,0.6190476190476191,-0.24038884232605903,0.004788922639658443
sq_long_fail_release,distance_to_breakout_atr,3,53,51,25,0.49019607843137253,0.04895138799303289,-0.013238938552613922
sq_long_fail_release,distance_to_breakout_atr,4,43,42,18,0.42857142857142855,0.30016318859136887,-0.013096297464055575
sq_long_fail_release,distance_to_breakout_atr,5,14,13,7,0.5384615384615384,0.5762771727261662,-0.007232443149362205
sq_long_fail_release,bb_width,1,100,97,50,0.5154639175257731,0.06272546232828563,-0.00836632990755054
sq_long_fail_release,bb_width,2,36,35,16,0.45714285714285713,0.09007790803452334,-0.013885927540320593
sq_long_fail_release,bb_width,3,28,28,14,0.5,0.12097389372384888,0.0030330123007388404
sq_long_fail_release,bb_width,4,22,20,12,0.6,0.14890838403162007,0.015000124748402788
sq_long_fail_release,bb_width,5,15,15,8,0.5333333333333333,0.2252470497460405,0.0007457819587049682
sq_long_fail_release,distance_to_squeeze_pct,1,201,195,100,0.5128205128205128,-17.42617724483878,-0.0046227071598682334
sq_long_fail_release,distance_to_squeeze_pct,2,0,0,0,,,
sq_long_fail_release,distance_to_squeeze_pct,3,0,0,0,,,
sq_long_fail_release,distance_to_squeeze_pct,4,0,0,0,,,
sq_long_fail_release,distance_to_squeeze_pct,5,0,0,0,,,
sq_long_fail_release,distance_to_upper_band_atr,1,5,5,2,0.4,-0.7201380113631605,-0.03941343401448525
sq_long_fail_release,distance_to_upper_band_atr,2,33,32,16,0.5,-0.5156376475592982,0.010409665827291453
sq_long_fail_release,distance_to_upper_band_atr,3,45,43,28,0.6511627906976745,-0.3154335402314845,0.015934911120719302
sq_long_fail_release,distance_to_upper_band_atr,4,37,35,17,0.4857142857142857,-0.1666918812629493,0.0012077046826677953
sq_long_fail_release,distance_to_upper_band_atr,5,81,80,37,0.4625,-0.06020779090253675,-0.022061760933243857
sq_long_fail_release,bars_since_rsi_up,1,117,116,58,0.5,2.0,-0.007375696604088768
sq_long_fail_release,bars_since_rsi_up,2,20,19,11,0.5789473684210527,4.0,0.00430573106475469
sq_long_fail_release,bars_since_rsi_up,3,23,21,11,0.5238095238095238,6.0,-0.011382411604419843
sq_long_fail_release,bars_since_rsi_up,4,22,21,13,0.6190476190476191,7.0,0.014822893391943284
sq_long_fail_release,bars_since_rsi_up,5,19,18,7,0.3888888888888889,9.0,-0.011105894326018871
sq_long_fail_release,bars_since_oversold,1,47,47,28,0.5957446808510638,41.0,0.009034779276359848
sq_long_fail_release,bars_since_oversold,2,34,34,18,0.5294117647058824,73.5,0.0028485007712319497
sq_long_fail_release,bars_since_oversold,3,29,23,12,0.5217391304347826,128.0,-0.013445608571006707
sq_long_fail_release,bars_since_oversold,4,34,34,17,0.5,206.0,5.290001886250584e-05
sq_long_fail_release,bars_since_oversold,5,50,50,23,0.46,381.5,-0.01957623968666645
sq_long_fail_release,bars_since_squeeze,1,201,195,100,0.5128205128205128,0.0,-0.0046227071598682334
sq_long_fail_release,bars_since_squeeze,2,0,0,0,,,
sq_long_fail_release,bars_since_squeeze,3,0,0,0,,,
sq_long_fail_release,bars_since_squeeze,4,0,0,0,,,
sq_long_fail_trend,rsi,1,243,239,148,0.6192468619246861,63.13733588521377,0.029708160748961397
sq_long_fail_trend,rsi,2,68,67,43,0.6417910447761194,68.29452891688351,0.010643886205909517
sq_long_fail_trend,rsi,3,25,25,16,0.64,70.7013739795855,0.009461877594298018
sq_long_fail_trend,rsi,4,14,14,9,0.6428571428571429,74.04217972606128,0.012606687799493763
sq_long_fail_trend,rsi,5,5,5,5,1.0,78.15499625019255,0.03815080213288811
sq_long_fail_trend,rsi_distance_from_avg,1,29,29,19,0.6551724137931034,6.459045854873622,0.028317713746230124
sq_long_fail_trend,rsi_distance_from_avg,2,49,49,28,0.5714285714285714,7.931500944067288,0.011329248154865842
sq_long_fail_trend,rsi_distance_from_avg,3,77,74,42,0.5675675675675675,9.352578515987283,0.015439292437816457
sq_long_fail_trend,rsi_distance_from_avg,4,81,80,50,0.625,11.38903591708722,0.019747511147871284
sq_long_fail_trend,rsi_distance_from_avg,5,119,118,82,0.6949152542372882,14.067297876442453,0.03659771172928217
sq_long_fail_trend,htf_adx,1,267,262,165,0.6297709923664122,16.066485511530015,0.022332921269173602
sq_long_fail_trend,htf_adx,2,34,34,20,0.5882352941176471,22.261917985753648,0.03140360940367716
sq_long_fail_trend,htf_adx,3,28,28,15,0.5357142857142857,25.093558684269922,0.005367840108496581
sq_long_fail_trend,htf_adx,4,24,24,19,0.7916666666666666,32.12588286381924,0.055264095832191405
sq_long_fail_trend,htf_adx,5,2,2,2,1.0,42.26595440033732,0.01079972962675535
sq_long_fail_trend,adx_margin,1,267,262,165,0.6297709923664122,-1.933514488469985,0.022332921269173602
sq_long_fail_trend,adx_margin,2,34,34,20,0.5882352941176471,4.261917985753648,0.03140360940367716
sq_long_fail_trend,adx_margin,3,28,28,15,0.5357142857142857,7.093558684269924,0.005367840108496581
sq_long_fail_trend,adx_margin,4,24,24,19,0.7916666666666666,14.125882863819239,0.055264095832191405
sq_long_fail_trend,adx_margin,5,2,2,2,1.0,24.265954400337325,0.01079972962675535
sq_long_fail_trend,ema_spread_pct,1,256,254,166,0.6535433070866141,-6.326710070647655,0.03223415042443867
sq_long_fail_trend,ema_spread_pct,2,20,20,12,0.6,5.699863229109003,0.00406287364492976
sq_long_fail_trend,ema_spread_pct,3,28,27,12,0.4444444444444444,8.753081121414594,-0.028920196829074034
sq_long_fail_trend,ema_spread_pct,4,29,28,17,0.6071428571428571,11.512097176808393,0.00010349040018679614
sq_long_fail_trend,ema_spread_pct,5,22,21,14,0.6666666666666666,19.368466127645526,0.044114346523155656
sq_long_fail_trend,atr_pct,1,41,40,30,0.75,1.6318281153389083,0.010845484061839971
sq_long_fail_trend,atr_pct,2,31,31,20,0.6451612903225806,1.9189536573818549,0.014641625342899034
sq_long_fail_trend,atr_pct,3,53,52,27,0.5192307692307693,2.274238161436692,-0.0047238111224370445
sq_long_fail_trend,atr_pct,4,98,97,60,0.6185567010309279,2.780074023752655,0.018741154487929863
sq_long_fail_trend,atr_pct,5,132,130,84,0.6461538461538462,4.120263664007488,0.04582478322651213
sq_long_fail_trend,candle_range_atr,1,62,62,41,0.6612903225806451,0.6109501205544077,0.02350822329412904
sq_long_fail_trend,candle_range_atr,2,55,54,34,0.6296296296296297,0.7489330525009604,0.016673673815666066
sq_long_fail_trend,candle_range_atr,3,60,60,35,0.5833333333333334,0.8955277918025275,0.012489273180121385
sq_long_fail_trend,candle_range_atr,4,92,88,56,0.6363636363636364,1.0940969819804849,0.036794798208163365
sq_long_fail_trend,candle_range_atr,5,86,86,55,0.6395348837209303,1.5140881361743737,0.024093005943080094
sq_long_fail_trend,volume_ratio,1,41,41,25,0.6097560975609756,0.7950007750322958,0.020400134749161507
sq_long_fail_trend,volume_ratio,2,46,46,27,0.5869565217391305,0.9194520681591223,0.01186965206369881
sq_long_fail_trend,volume_ratio,3,82,81,53,0.654320987654321,1.0706542064108628,0.030128285396326768
sq_long_fail_trend,volume_ratio,4,76,75,49,0.6533333333333333,1.2876688817378055,0.026018424410100705
sq_long_fail_trend,volume_ratio,5,110,107,67,0.6261682242990654,1.8719850557165876,0.024700961747726433
sq_long_fail_trend,distance_to_breakout_atr,1,146,144,97,0.6736111111111112,-0.7707196253458855,0.028857297541354594
sq_long_fail_trend,distance_to_breakout_atr,2,80,79,44,0.5569620253164557,-0.27379922793849487,0.015442695388135778
sq_long_fail_trend,distance_to_breakout_atr,3,74,72,44,0.6111111111111112,0.0,0.031189265194925708
sq_long_fail_trend,distance_to_breakout_atr,4,26,26,17,0.6538461538461539,0.2867388087800685,0.012153927085099684
sq_long_fail_trend,distance_to_breakout_atr,5,29,29,19,0.6551724137931034,0.7843482427020279,0.016556289470602916
sq_long_fail_trend,bb_width,1,86,84,52,0.6190476190476191,0.06788341233958314,0.0030110449496703736
sq_long_fail_trend,bb_width,2,62,61,33,0.5409836065573771,0.09490066522316798,0.011003405865913229
sq_long_fail_trend,bb_width,3,61,61,34,0.5573770491803278,0.12057877433088666,0.005128767511987701
sq_long_fail_trend,bb_width,4,65,64,43,0.671875,0.15551615880607697,0.03556011576322324
sq_long_fail_trend,bb_width,5,81,80,59,0.7375,0.23009351234608766,0.0613043451730245
sq_long_fail_trend,distance_to_squeeze_pct,1,118,115,73,0.6347826086956522,5.605604959644051,0.03719083335195346
sq_long_fail_trend,distance_to_squeeze_pct,2,114,113,63,0.5575221238938053,17.976941383078405,0.012735016209207235
sq_long_fail_trend,distance_to_squeeze_pct,3,52,51,39,0.7647058823529411,31.858120209713924,0.030577114458331524
sq_long_fail_trend,distance_to_squeeze_pct,4,51,51,32,0.6274509803921569,49.97245770452383,0.017112742000255504
sq_long_fail_trend,distance_to_squeeze_pct,5,20,20,14,0.7,85.22337538201208,0.013450001400475631
sq_long_fail_trend,distance_to_upper_band_atr,1,68,68,44,0.6470588235294118,-0.9375891495680085,0.02117995499680053
sq_long_fail_trend,distance_to_upper_band_atr,2,81,78,53,0.6794871794871795,-0.548763938879152,0.028930878919690876
sq_long_fail_trend,distance_to_upper_band_atr,3,85,84,46,0.5476190476190477,-0.30687926768903295,0.013680302354898715
sq_long_fail_trend,distance_to_upper_band_atr,4,65,65,40,0.6153846153846154,-0.16216875908023567,0.02439146010433895
sq_long_fail_trend,distance_to_upper_band_atr,5,56,55,38,0.6909090909090909,-0.06182770239894027,0.03610453771637577
sq_long_fail_trend,bars_since_rsi_up,1,145,144,84,0.5833333333333334,2.0,0.012001742847362844
sq_long_fail_trend,bars_since_rsi_up,2,37,36,22,0.6111111111111112,4.0,0.017385700891820996
sq_long_fail_trend,bars_since_rsi_up,3,72,70,46,0.6571428571428571,5.0,0.012317640241477997
sq_long_fail_trend,bars_since_rsi_up,4,35,35,23,0.6571428571428571,8.0,0.03647008909563273
sq_long_fail_trend,bars_since_rsi_up,5,66,65,46,0.7076923076923077,10.0,0.06037478826363238
sq_long_fail_trend,bars_since_oversold,1,169,169,114,0.6745562130177515,35.0,0.0411051686233018
sq_long_fail_trend,bars_since_oversold,2,46,46,25,0.5434782608695652,76.5,-0.010981564997523731
sq_long_fail_trend,bars_since_oversold,3,58,55,36,0.6545454545454545,119.0,0.02824626454991308
sq_long_fail_trend,bars_since_oversold,4,56,55,30,0.5454545454545454,201.0,-0.0013398599344928335
sq_long_fail_trend,bars_since_oversold,5,21,20,14,0.7,345.0,0.02241190139858847
sq_long_fail_trend,bars_since_squeeze,1,173,169,101,0.5976331360946746,1.0,0.026475265433866885
sq_long_fail_trend,bars_since_squeeze,2,119,118,80,0.6779661016949152,2.0,0.02639254987233581
sq_long_fail_trend,bars_since_squeeze,3,63,63,40,0.6349206349206349,3.0,0.013151502083387086
sq_long_fail_trend,bars_since_squeeze,4,0,0,0,,,
