hypothesis_id,module,kind,feature,observation,interpretation,expected_direction,discovery_a_n,discovery_b_n,discovery_delta,discovery_trimmed_delta,action,holdout_test
squeeze:feature:rsi_distance_from_avg,squeeze,feature,rsi_distance_from_avg,MIXED,Fixed discovery highest bin minus lowest bin within approved pure signals,1,46,45,0.023129621745423684,0.020031385665616252,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
squeeze:feature:htf_adx,squeeze,feature,htf_adx,MIXED,Fixed discovery highest bin minus lowest bin within approved pure signals,-1,46,46,-0.0306359468902506,-0.01368537975846701,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
squeeze:feature:adx_margin,squeeze,feature,adx_margin,MIXED,Fixed discovery highest bin minus lowest bin within approved pure signals,-1,46,46,-0.0306359468902506,-0.01368537975846701,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
squeeze:feature:ema_spread_pct,squeeze,feature,ema_spread_pct,MIXED,Fixed discovery highest bin minus lowest bin within approved pure signals,-1,46,46,-0.03214241211966364,-0.02278225426459755,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
squeeze:feature:atr_pct,squeeze,feature,atr_pct,MIXED,Fixed discovery highest bin minus lowest bin within approved pure signals,1,46,46,0.015171477580515106,0.016982349740249342,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
squeeze:feature:candle_range_atr,squeeze,feature,candle_range_atr,MIXED,Fixed discovery highest bin minus lowest bin within approved pure signals,1,46,46,0.03965072706035987,0.03131789285990279,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
squeeze:feature:volume_ratio,squeeze,feature,volume_ratio,MIXED,Fixed discovery highest bin minus lowest bin within approved pure signals,1,45,45,0.024199934300295704,0.015210499128726868,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
squeeze:feature:distance_to_breakout_atr,squeeze,feature,distance_to_breakout_atr,MIXED,Fixed discovery highest bin minus lowest bin within approved pure signals,-1,45,45,-0.019368403399250635,-0.015269514133293307,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
squeeze:feature:bb_width,squeeze,feature,bb_width,MIXED,Fixed discovery highest bin minus lowest bin within approved pure signals,1,46,46,0.010634948013921694,0.01687819021290434,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
squeeze:feature:distance_to_squeeze_pct,squeeze,feature,distance_to_squeeze_pct,MIXED,Fixed discovery highest bin minus lowest bin within approved pure signals,-1,45,46,-0.014505165129413997,-0.013165679055611612,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
squeeze:feature:distance_to_upper_band_atr,squeeze,feature,distance_to_upper_band_atr,MIXED,Fixed discovery highest bin minus lowest bin within approved pure signals,-1,45,44,-0.027320342750115953,-0.01868960883370295,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
squeeze:feature:bars_since_rsi_up,squeeze,feature,bars_since_rsi_up,MIXED,Fixed discovery highest bin minus lowest bin within approved pure signals,1,66,40,0.018866800619672164,0.010963266764463105,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
squeeze:feature:bars_since_oversold,squeeze,feature,bars_since_oversold,MIXED,Fixed discovery highest bin minus lowest bin within approved pure signals,1,45,44,0.00505973605667568,0.007331013464448674,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
squeeze:feature:bars_since_squeeze,squeeze,feature,bars_since_squeeze,LOW SAMPLE,Fixed discovery highest bin minus lowest bin within approved pure signals,0,66,0,,,NO ACTION,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
