hypothesis_id,group,group_value,a_n,b_n,a_mean,b_mean,delta,expected_direction
pullback:feature:rsi_distance_from_avg,symbol,CVX,1,1,0.08300466044967725,0.03229078335482316,-0.05071387709485409,-1
pullback:feature:rsi_distance_from_avg,symbol,DDOG,0,1,,0.08490882924663334,,-1
pullback:feature:rsi_distance_from_avg,symbol,DE,1,3,-0.040166963288814084,0.003137837589252457,0.04330480087806654,-1
pullback:feature:rsi_distance_from_avg,symbol,ETN,1,0,-0.0006811604843014463,,,-1
pullback:feature:rsi_distance_from_avg,symbol,GE,2,2,0.10013876698224644,-0.017591822842869365,-0.1177305898251158,-1
pullback:feature:rsi_distance_from_avg,symbol,GOOGL,3,0,0.06434432752868864,,,-1
pullback:feature:rsi_distance_from_avg,symbol,HD,1,0,0.03774966859743745,,,-1
pullback:feature:rsi_distance_from_avg,symbol,HON,1,1,-0.027631190432806263,0.04745840599334339,0.07508959642614965,-1
pullback:feature:rsi_distance_from_avg,symbol,HOOD,2,0,0.16429390890403123,,,-1
pullback:feature:rsi_distance_from_avg,symbol,JPM,2,0,0.03972609811934791,,,-1
pullback:feature:rsi_distance_from_avg,symbol,LLY,0,5,,-0.006825941415229919,,-1
pullback:feature:rsi_distance_from_avg,symbol,MA,1,2,-0.007139461692380555,-0.01168719197788648,-0.004547730285505924,-1
pullback:feature:rsi_distance_from_avg,symbol,META,1,2,0.11323568420359265,-0.015237876591889021,-0.12847356079548167,-1
pullback:feature:rsi_distance_from_avg,symbol,MS,3,1,0.01207667735457485,0.02775537448787002,0.015678697133295172,-1
pullback:feature:rsi_distance_from_avg,symbol,MSFT,1,1,-0.03333436211699059,0.028534089928778705,0.061868452045769295,-1
pullback:feature:rsi_distance_from_avg,symbol,MU,0,2,,0.13183164524196334,,-1
pullback:feature:rsi_distance_from_avg,symbol,NFLX,1,2,-0.05049992523840663,0.033842616196415876,0.0843425414348225,-1
pullback:feature:rsi_distance_from_avg,symbol,NOW,1,0,-0.00034235961949413696,,,-1
pullback:feature:rsi_distance_from_avg,symbol,NVDA,0,2,,0.10004531869195343,,-1
pullback:feature:rsi_distance_from_avg,symbol,ORCL,3,1,-0.03218224946991399,0.0715791175410625,0.10376136701097649,-1
pullback:feature:rsi_distance_from_avg,symbol,PANW,2,2,0.08457060180540754,-0.0007239276027761199,-0.08529452940818366,-1
pullback:feature:rsi_distance_from_avg,symbol,PLTR,1,1,0.1334059300145971,-0.030618493713166273,-0.16402442372776338,-1
pullback:feature:rsi_distance_from_avg,symbol,QCOM,1,1,0.10340400699164531,-0.06048014312841821,-0.16388415012006352,-1
pullback:feature:rsi_distance_from_avg,symbol,ROKU,4,0,0.06828439117275187,,,-1
pullback:feature:rsi_distance_from_avg,symbol,RTX,0,3,,-0.044927491963739984,,-1
pullback:feature:rsi_distance_from_avg,symbol,SHOP,1,0,-0.053303526961261394,,,-1
pullback:feature:rsi_distance_from_avg,symbol,SMCI,4,2,-0.033465018836896954,0.10343532742839484,0.1369003462652918,-1
pullback:feature:rsi_distance_from_avg,symbol,TSLA,1,0,0.05917518160210933,,,-1
pullback:feature:rsi_distance_from_avg,symbol,TSM,2,0,-0.01991198004859185,,,-1
pullback:feature:rsi_distance_from_avg,symbol,UBER,4,1,0.004818478898225537,0.062309741910669736,0.0574912630124442,-1
pullback:feature:rsi_distance_from_avg,symbol,V,1,3,-2.8158448620585474e-05,-0.04070195690449,-0.040673798455869416,-1
pullback:feature:rsi_distance_from_avg,symbol,WMT,2,1,0.06855131946055137,0.048571943715570276,-0.019979375744981098,-1
pullback:feature:htf_adx,year,2021,6,1,-0.026786674159134254,-0.00921505872706907,0.017571615432065184,-1
pullback:feature:htf_adx,year,2022,11,8,0.02853076091188729,0.010919764813654087,-0.017610996098233203,-1
pullback:feature:htf_adx,year,2023,18,11,0.052941521071415004,-0.003915454281098488,-0.056856975352513495,-1
pullback:feature:htf_adx,year,2024,14,22,0.027850817003032966,0.05072922875969082,0.022878411756657852,-1
pullback:feature:htf_adx,year,2025,10,16,0.016984182203862986,0.016497683276729118,-0.0004864989271338681,-1
pullback:feature:htf_adx,symbol,AAPL,1,4,-0.08700381651617861,0.024493897558868355,0.11149771407504697,-1
pullback:feature:htf_adx,symbol,ABNB,1,0,-0.0070829413560973276,,,-1
pullback:feature:htf_adx,symbol,AMD,1,1,-0.03618660886255343,-0.00921505872706907,0.026971550135484357,-1
pullback:feature:htf_adx,symbol,AMZN,2,2,-0.029786896658664908,-0.041764823335261825,-0.011977926676596917,-1
pullback:feature:htf_adx,symbol,ASML,2,0,0.03367599919537784,,,-1
pullback:feature:htf_adx,symbol,AVGO,2,2,0.10663476079538314,0.025223505280374314,-0.08141125551500883,-1
pullback:feature:htf_adx,symbol,BAC,1,1,-0.009843498237315229,0.01144785959516259,0.02129135783247782,-1
pullback:feature:htf_adx,symbol,CAT,1,2,-0.06581604805925667,-0.0021353006518392004,0.06368074740741747,-1
pullback:feature:htf_adx,symbol,COP,0,1,,-0.0019414480844404114,,-1
pullback:feature:htf_adx,symbol,COST,1,2,-0.06904691170000266,0.006436985749507629,0.07548389744951028,-1
pullback:feature:htf_adx,symbol,CRM,1,0,0.052931154400889024,,,-1
pullback:feature:htf_adx,symbol,CVX,1,1,0.03229078335482316,0.08300466044967725,0.05071387709485409,-1
pullback:feature:htf_adx,symbol,DDOG,1,0,0.04625183139814748,,,-1
pullback:feature:htf_adx,symbol,DE,1,1,0.1429856094061448,-0.003847354949933268,-0.14683296435607807,-1
pullback:feature:htf_adx,symbol,ETN,2,1,0.03032996162262691,-0.09561309981243005,-0.12594306143505696,-1
pullback:feature:htf_adx,symbol,GE,1,2,-0.05426434945332004,-0.017591822842869365,0.03667252661045067,-1
pullback:feature:htf_adx,symbol,GOOGL,3,0,0.09015293708531542,,,-1
pullback:feature:htf_adx,symbol,GS,1,0,-0.022198132339823484,,,-1
pullback:feature:htf_adx,symbol,HOOD,1,1,-0.11055693709292946,0.4391447549009919,0.5497016919939214,-1
pullback:feature:htf_adx,symbol,JPM,0,2,,0.018558373894299263,,-1
pullback:feature:htf_adx,symbol,LLY,4,4,0.05151572270059335,0.03964617915454158,-0.01186954354605177,-1
pullback:feature:htf_adx,symbol,MA,0,3,,-0.0204551852863805,,-1
pullback:feature:htf_adx,symbol,MRVL,1,0,0.12243028707207637,,,-1
pullback:feature:htf_adx,symbol,MS,1,3,0.005661442478245959,0.01592586725641043,0.010264424778164472,-1
pullback:feature:htf_adx,symbol,MU,3,0,0.03919178479872406,,,-1
pullback:feature:htf_adx,symbol,NFLX,2,4,-0.007018199445739337,0.04752445883355633,0.054542658279295664,-1
pullback:feature:htf_adx,symbol,NKE,1,0,-0.02628581140529207,,,-1
pullback:feature:htf_adx,symbol,NOW,1,1,0.12289371900776547,-0.04083766406415057,-0.16373138307191604,-1
pullback:feature:htf_adx,symbol,NVDA,3,2,0.04894614650175896,0.05687978998711962,0.007933643485360665,-1
pullback:feature:htf_adx,symbol,ORCL,2,1,0.01813574767124526,0.0715791175410625,0.05344336986981724,-1
pullback:feature:htf_adx,symbol,PANW,3,2,0.09243789366850441,-0.0007239276027761199,-0.09316182127128053,-1
pullback:feature:htf_adx,symbol,PLTR,0,3,,0.055419697336559236,,-1
pullback:feature:htf_adx,symbol,ROKU,1,3,0.022423391726079656,0.08357139098830928,0.06114799926222962,-1
pullback:feature:htf_adx,symbol,RTX,0,1,,-0.020067397693072864,,-1
pullback:feature:htf_adx,symbol,SHOP,2,0,0.011325760225563364,,,-1
pullback:feature:htf_adx,symbol,SMCI,3,2,0.04298250357788025,-0.04462349137477878,-0.08760599495265903,-1
pullback:feature:htf_adx,symbol,TSLA,2,1,0.043298544743585854,-0.036704962327236856,-0.08000350707082271,-1
pullback:feature:htf_adx,symbol,TSM,0,1,,0.01148586663382778,,-1
pullback:feature:htf_adx,symbol,UBER,2,0,0.03821062386287222,,,-1
pullback:feature:htf_adx,symbol,V,1,2,0.015274761719804575,0.009489542083670588,-0.005785219636133987,-1
pullback:feature:htf_adx,symbol,WMT,2,2,0.03456191871524661,0.06855131946055137,0.033989400745304765,-1
pullback:feature:htf_adx,symbol,XOM,1,0,-0.11497209025260802,,,-1
pullback:feature:adx_margin,year,2021,6,1,-0.026786674159134254,-0.00921505872706907,0.017571615432065184,-1
pullback:feature:adx_margin,year,2022,11,8,0.02853076091188729,0.010919764813654087,-0.017610996098233203,-1
pullback:feature:adx_margin,year,2023,18,11,0.052941521071415004,-0.003915454281098488,-0.056856975352513495,-1
pullback:feature:adx_margin,year,2024,14,22,0.027850817003032966,0.05072922875969082,0.022878411756657852,-1
pullback:feature:adx_margin,year,2025,10,16,0.016984182203862986,0.016497683276729118,-0.0004864989271338681,-1
pullback:feature:adx_margin,symbol,AAPL,1,4,-0.08700381651617861,0.024493897558868355,0.11149771407504697,-1
pullback:feature:adx_margin,symbol,ABNB,1,0,-0.0070829413560973276,,,-1
pullback:feature:adx_margin,symbol,AMD,1,1,-0.03618660886255343,-0.00921505872706907,0.026971550135484357,-1
pullback:feature:adx_margin,symbol,AMZN,2,2,-0.029786896658664908,-0.041764823335261825,-0.011977926676596917,-1
pullback:feature:adx_margin,symbol,ASML,2,0,0.03367599919537784,,,-1
pullback:feature:adx_margin,symbol,AVGO,2,2,0.10663476079538314,0.025223505280374314,-0.08141125551500883,-1
pullback:feature:adx_margin,symbol,BAC,1,1,-0.009843498237315229,0.01144785959516259,0.02129135783247782,-1
pullback:feature:adx_margin,symbol,CAT,1,2,-0.06581604805925667,-0.0021353006518392004,0.06368074740741747,-1
pullback:feature:adx_margin,symbol,COP,0,1,,-0.0019414480844404114,,-1
pullback:feature:adx_margin,symbol,COST,1,2,-0.06904691170000266,0.006436985749507629,0.07548389744951028,-1
pullback:feature:adx_margin,symbol,CRM,1,0,0.052931154400889024,,,-1
pullback:feature:adx_margin,symbol,CVX,1,1,0.03229078335482316,0.08300466044967725,0.05071387709485409,-1
pullback:feature:adx_margin,symbol,DDOG,1,0,0.04625183139814748,,,-1
pullback:feature:adx_margin,symbol,DE,1,1,0.1429856094061448,-0.003847354949933268,-0.14683296435607807,-1
pullback:feature:adx_margin,symbol,ETN,2,1,0.03032996162262691,-0.09561309981243005,-0.12594306143505696,-1
pullback:feature:adx_margin,symbol,GE,1,2,-0.05426434945332004,-0.017591822842869365,0.03667252661045067,-1
pullback:feature:adx_margin,symbol,GOOGL,3,0,0.09015293708531542,,,-1
pullback:feature:adx_margin,symbol,GS,1,0,-0.022198132339823484,,,-1
pullback:feature:adx_margin,symbol,HOOD,1,1,-0.11055693709292946,0.4391447549009919,0.5497016919939214,-1
pullback:feature:adx_margin,symbol,JPM,0,2,,0.018558373894299263,,-1
pullback:feature:adx_margin,symbol,LLY,4,4,0.05151572270059335,0.03964617915454158,-0.01186954354605177,-1
pullback:feature:adx_margin,symbol,MA,0,3,,-0.0204551852863805,,-1
pullback:feature:adx_margin,symbol,MRVL,1,0,0.12243028707207637,,,-1
pullback:feature:adx_margin,symbol,MS,1,3,0.005661442478245959,0.01592586725641043,0.010264424778164472,-1
pullback:feature:adx_margin,symbol,MU,3,0,0.03919178479872406,,,-1
pullback:feature:adx_margin,symbol,NFLX,2,4,-0.007018199445739337,0.04752445883355633,0.054542658279295664,-1
pullback:feature:adx_margin,symbol,NKE,1,0,-0.02628581140529207,,,-1
pullback:feature:adx_margin,symbol,NOW,1,1,0.12289371900776547,-0.04083766406415057,-0.16373138307191604,-1
pullback:feature:adx_margin,symbol,NVDA,3,2,0.04894614650175896,0.05687978998711962,0.007933643485360665,-1
pullback:feature:adx_margin,symbol,ORCL,2,1,0.01813574767124526,0.0715791175410625,0.05344336986981724,-1
pullback:feature:adx_margin,symbol,PANW,3,2,0.09243789366850441,-0.0007239276027761199,-0.09316182127128053,-1
pullback:feature:adx_margin,symbol,PLTR,0,3,,0.055419697336559236,,-1
pullback:feature:adx_margin,symbol,ROKU,1,3,0.022423391726079656,0.08357139098830928,0.06114799926222962,-1
pullback:feature:adx_margin,symbol,RTX,0,1,,-0.020067397693072864,,-1
pullback:feature:adx_margin,symbol,SHOP,2,0,0.011325760225563364,,,-1
pullback:feature:adx_margin,symbol,SMCI,3,2,0.04298250357788025,-0.04462349137477878,-0.08760599495265903,-1
pullback:feature:adx_margin,symbol,TSLA,2,1,0.043298544743585854,-0.036704962327236856,-0.08000350707082271,-1
pullback:feature:adx_margin,symbol,TSM,0,1,,0.01148586663382778,,-1
pullback:feature:adx_margin,symbol,UBER,2,0,0.03821062386287222,,,-1
pullback:feature:adx_margin,symbol,V,1,2,0.015274761719804575,0.009489542083670588,-0.005785219636133987,-1
pullback:feature:adx_margin,symbol,WMT,2,2,0.03456191871524661,0.06855131946055137,0.033989400745304765,-1
pullback:feature:adx_margin,symbol,XOM,1,0,-0.11497209025260802,,,-1
pullback:feature:ema_spread_pct,year,2021,8,0,-0.05750397649750724,,,1
pullback:feature:ema_spread_pct,year,2022,12,1,0.018393079220955122,0.08300466044967725,0.06461158122872213,1
pullback:feature:ema_spread_pct,year,2023,12,14,0.028353273666293127,0.010213821009130755,-0.018139452657162373,1
pullback:feature:ema_spread_pct,year,2024,16,25,0.06708685918279235,0.0573681900462282,-0.009718669136564148,1
pullback:feature:ema_spread_pct,year,2025,11,16,0.002161618376572068,0.03391604677757477,0.0317544284010027,1
pullback:feature:ema_spread_pct,symbol,AAPL,3,0,0.023290912124901086,,,1
pullback:feature:ema_spread_pct,symbol,ABNB,1,0,-0.13060552711541984,,,1
pullback:feature:ema_spread_pct,symbol,AMZN,2,0,-0.029786896658664908,,,1
pullback:feature:ema_spread_pct,symbol,AVGO,1,6,0.10427855972597588,0.102272886197133,-0.0020056735288428856,1
pullback:feature:ema_spread_pct,symbol,COIN,1,3,0.6733862450470496,0.07472815366367058,-0.598658091383379,1
pullback:feature:ema_spread_pct,symbol,COP,1,0,-8.579712438161469e-05,,,1
pullback:feature:ema_spread_pct,symbol,COST,2,0,-0.0384980936494862,,,1
pullback:feature:ema_spread_pct,symbol,CRM,1,0,0.06410069818253161,,,1
