blocker,feature,bin,observations,complete,positive,positive_rate,median_feature,mean
pb_long_fail_trend,htf_adx,3,5,5,4,0.8,22.068246318193903,0.029486793656150347
pb_long_fail_trend,htf_adx,4,2,2,1,0.5,25.213543242140936,0.01834608899139839
pb_long_fail_trend,htf_adx,5,5,5,2,0.4,29.517659144422154,0.02164977022649439
pb_long_fail_trend,adx_margin,1,446,437,238,0.5446224256292906,-3.2983322343950077,0.006840042799772781
pb_long_fail_trend,adx_margin,2,6,6,3,0.5,2.316432241664046,-0.0027565345577487874
pb_long_fail_trend,adx_margin,3,5,5,4,0.8,4.0682463181939035,0.029486793656150347
pb_long_fail_trend,adx_margin,4,2,2,1,0.5,7.2135432421409345,0.01834608899139839
pb_long_fail_trend,adx_margin,5,5,5,2,0.4,11.517659144422154,0.02164977022649439
pb_long_fail_trend,ema_spread_pct,1,224,222,120,0.5405405405405406,0.9893754681304082,0.006677971492459483
pb_long_fail_trend,ema_spread_pct,2,78,78,47,0.6025641025641025,4.76612891095022,0.017356545245431204
pb_long_fail_trend,ema_spread_pct,3,56,56,29,0.5178571428571429,8.165722643542427,-0.009126566059404899
pb_long_fail_trend,ema_spread_pct,4,61,54,29,0.5370370370370371,12.333028495485033,0.0056243036069889485
pb_long_fail_trend,ema_spread_pct,5,50,50,28,0.56,20.429308917827083,0.0188194151419195
pb_long_fail_trend,atr_pct,1,114,113,65,0.5752212389380531,1.8055979938207374,0.006755524544451492
pb_long_fail_trend,atr_pct,2,102,100,56,0.56,2.3263208887923024,0.010999738076275006
pb_long_fail_trend,atr_pct,3,78,76,42,0.5526315789473685,2.916311719164699,0.0077215336176043575
pb_long_fail_trend,atr_pct,4,116,113,54,0.4778761061946903,3.7972386607201263,-0.005404990974866104
pb_long_fail_trend,atr_pct,5,59,58,36,0.6206896551724138,5.530727704394526,0.029836120639444186
pb_long_fail_trend,candle_range_atr,1,79,79,41,0.5189873417721519,0.6151425167692343,-0.004303041221341936
pb_long_fail_trend,candle_range_atr,2,100,97,52,0.5360824742268041,0.7829296500557101,0.01364069911401758
pb_long_fail_trend,candle_range_atr,3,113,108,73,0.6759259259259259,0.9809444573221321,0.018710789924935006
pb_long_fail_trend,candle_range_atr,4,70,69,34,0.4927536231884058,1.1614933920389423,-0.0015007711599738093
pb_long_fail_trend,candle_range_atr,5,107,107,53,0.4953271028037383,1.4730995796154305,0.006256971902690308
pb_long_fail_trend,volume_ratio,1,104,103,57,0.5533980582524272,0.680461268725048,0.005444384049828172
pb_long_fail_trend,volume_ratio,2,84,83,48,0.5783132530120482,0.8731688692696867,0.006848034659608851
pb_long_fail_trend,volume_ratio,3,111,108,62,0.5740740740740741,0.9962811080413315,0.010238442247438993
pb_long_fail_trend,volume_ratio,4,58,55,33,0.6,1.1709968886689164,0.023823180895775033
pb_long_fail_trend,volume_ratio,5,112,111,53,0.4774774774774775,1.5667244860986058,0.00022279736167088874
pb_long_fail_trend,distance_to_breakout_atr,1,131,127,64,0.5039370078740157,-0.04722782243910838,0.012698464574304793
pb_long_fail_trend,distance_to_breakout_atr,2,134,134,79,0.5895522388059702,0.7103189165367801,0.009791998144535383
pb_long_fail_trend,distance_to_breakout_atr,3,106,103,60,0.5825242718446602,1.2243919273656576,0.006864033943014133
pb_long_fail_trend,distance_to_breakout_atr,4,67,65,36,0.5538461538461539,1.7590734324029873,-0.006261856142541806
pb_long_fail_trend,distance_to_breakout_atr,5,31,31,14,0.45161290322580644,2.422075764592027,0.011132517866021137
pb_long_fail_trend,bb_width,1,206,202,113,0.5594059405940595,0.06488022819978449,0.006883921167046175
pb_long_fail_trend,bb_width,2,86,85,44,0.5176470588235295,0.09551459713833216,-0.000758058236940368
pb_long_fail_trend,bb_width,3,97,95,48,0.5052631578947369,0.12979421423992676,-0.0005494042282410326
pb_long_fail_trend,bb_width,4,41,40,25,0.625,0.17169786677015855,0.030593422563276275
pb_long_fail_trend,bb_width,5,39,38,23,0.6052631578947368,0.23827189243534036,0.028217237541178792
pb_long_fail_trend,distance_to_squeeze_pct,1,160,155,94,0.6064516129032258,-15.545681029579129,0.008919156735241289
pb_long_fail_trend,distance_to_squeeze_pct,2,113,111,58,0.5225225225225225,12.054870497367265,0.00572465247742124
pb_long_fail_trend,distance_to_squeeze_pct,3,81,79,47,0.5949367088607594,34.04831623018663,0.017434234206627684
pb_long_fail_trend,distance_to_squeeze_pct,4,59,59,29,0.4915254237288136,63.34614420048008,-0.00648552393576573
pb_long_fail_trend,distance_to_squeeze_pct,5,32,32,16,0.5,100.04517420840578,0.02013186851990689
pb_long_fail_trend,distance_to_upper_band_atr,1,276,270,145,0.5370370370370371,0.7295043818472149,0.004772324351877691
pb_long_fail_trend,distance_to_upper_band_atr,2,105,104,61,0.5865384615384616,1.6231478494405505,0.012560515135490287
pb_long_fail_trend,distance_to_upper_band_atr,3,57,57,33,0.5789473684210527,2.3184596758655696,0.016652938928304988
pb_long_fail_trend,distance_to_upper_band_atr,4,23,22,12,0.5454545454545454,2.941519900001078,0.012921451354656797
pb_long_fail_trend,distance_to_upper_band_atr,5,8,7,2,0.2857142857142857,3.585790037714168,-0.03691356354249383
pb_long_fail_trend,bars_since_rsi_up,1,250,244,138,0.5655737704918032,0.0,0.005262405593975902
pb_long_fail_trend,bars_since_rsi_up,2,128,127,71,0.5590551181102362,1.0,0.0167770882343884
pb_long_fail_trend,bars_since_rsi_up,3,47,45,22,0.4888888888888889,3.0,0.0074862056033690805
pb_long_fail_trend,bars_since_rsi_up,4,44,44,22,0.5,4.0,-0.004129108405288919
pb_long_fail_trend,bars_since_oversold,1,51,49,28,0.5714285714285714,23.0,0.018513097567972567
pb_long_fail_trend,bars_since_oversold,2,88,88,50,0.5681818181818182,60.5,0.0023088773471547667
pb_long_fail_trend,bars_since_oversold,3,86,82,48,0.5853658536585366,113.5,0.010418847620653295
pb_long_fail_trend,bars_since_oversold,4,133,130,79,0.6076923076923076,196.0,0.019294072102212956
pb_long_fail_trend,bars_since_oversold,5,58,58,26,0.4482758620689655,387.5,-0.0016704758825113865
pb_long_fail_trend,bars_since_squeeze,1,153,149,90,0.6040268456375839,0.0,0.007927599771907087
pb_long_fail_trend,bars_since_squeeze,2,57,56,36,0.6428571428571429,4.0,0.027712185346412527
pb_long_fail_trend,bars_since_squeeze,3,61,60,22,0.36666666666666664,9.0,-0.011027713854203352
pb_long_fail_trend,bars_since_squeeze,4,90,89,49,0.550561797752809,19.0,0.009703546011036616
pb_long_fail_trend,bars_since_squeeze,5,61,59,36,0.6101694915254238,42.0,0.010743751467603787
