filter,horizon,a_observations,a_complete,a_censored,a_symbols,a_years,a_mean,a_median,a_q10,a_q90,a_positive,a_negative,a_positive_rate,a_trimmed_mean,a_mean_mfe,a_median_mfe,a_mean_mae,a_median_mae,a_mean_without_top_1,a_mean_without_bottom_1,a_top_1_influence,a_mean_without_top_3,a_mean_without_bottom_3,a_top_3_influence,a_mean_without_top_5,a_mean_without_bottom_5,a_top_5_influence,a_target_3_stop_2_resolved,a_target_3_stop_2_target_before_stop_count,a_target_3_stop_2_stop_before_target_count,a_target_3_stop_2_neither_count,a_target_3_stop_2_ambiguous_count,a_target_3_stop_2_censored_count,a_target_3_stop_2_rate,a_target_5_stop_3_resolved,a_target_5_stop_3_target_before_stop_count,a_target_5_stop_3_stop_before_target_count,a_target_5_stop_3_neither_count,a_target_5_stop_3_ambiguous_count,a_target_5_stop_3_censored_count,a_target_5_stop_3_rate,b_observations,b_complete,b_censored,b_symbols,b_years,b_mean,b_median,b_q10,b_q90,b_positive,b_negative,b_positive_rate,b_trimmed_mean,b_mean_mfe,b_median_mfe,b_mean_mae,b_median_mae,b_mean_without_top_1,b_mean_without_bottom_1,b_top_1_influence,b_mean_without_top_3,b_mean_without_bottom_3,b_top_3_influence,b_mean_without_top_5,b_mean_without_bottom_5,b_top_5_influence,b_target_3_stop_2_resolved,b_target_3_stop_2_target_before_stop_count,b_target_3_stop_2_stop_before_target_count,b_target_3_stop_2_neither_count,b_target_3_stop_2_ambiguous_count,b_target_3_stop_2_censored_count,b_target_3_stop_2_rate,b_target_5_stop_3_resolved,b_target_5_stop_3_target_before_stop_count,b_target_5_stop_3_stop_before_target_count,b_target_5_stop_3_neither_count,b_target_5_stop_3_ambiguous_count,b_target_5_stop_3_censored_count,b_target_5_stop_3_rate,delta_mean,delta_median,delta_trimmed,delta_positive_rate,delta_without_winner_top_1,delta_without_winner_top_3,delta_without_winner_top_5,informative_years,year_agreement,one_year_dependent,informative_symbols,symbol_agreement,one_symbol_dependent,tail_dependent,low_sample
pb_long_fail_rsi,1,291,291,0,49,5,-1.9134267299348247e-05,0.0006197405641037435,-0.02799728662148948,0.026125737688043937,149,142,0.5120274914089347,0.00013547564880421286,0.015833930375817512,0.010998004875693912,-0.015242060232435106,-0.011161055848236678,-0.001092119455112961,0.00035076338597974196,0.0010729851878136126,-0.0015704232448068875,0.001005039201979323,0.0015512889775075392,-0.0020169662132068036,0.00158740944482751,0.0019978319459074555,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,194,194,0,48,5,0.001323180444318773,-0.00013699589044691152,-0.02453141155198748,0.026339961548581137,96,98,0.4948453608247423,0.0009297220878224605,0.017386750121925847,0.012939959216899832,-0.012627127680061273,-0.01003411940459692,0.0006410093131848357,0.0016838949149640102,0.0006821711311339372,-0.0003384849902804474,0.0023694619516053143,0.0016616654345992204,-0.0010566496626891347,0.00296158489425325,0.0023798301070079076,188,82,106,0,5,1,0.43617021276595747,192,67,120,5,1,1,0.3489583333333333,0.0013423147116181213,-0.000756736454550655,0.0007942464390182476,-0.01718213058419238,0.0006601435804841839,-0.0003193507229810991,-0.0010375153953897864,5,0.8,False,14,0.5714285714285714,True,True,False
pb_long_fail_rsi,3,291,290,1,49,5,0.004099756881568764,0.00635213009160418,-0.050958421292674895,0.05452805672218599,170,120,0.5862068965517241,0.004740269547468444,0.032855420355146464,0.02220792618248113,-0.029511836911874666,-0.017114861608536536,0.002694039232337153,0.005012072289858159,0.0014057176492316107,0.0006114485680646066,0.006274417008555932,0.003488308313504157,-0.00040065422906754224,0.007357501414113454,0.004500411110636306,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,194,193,1,48,5,-0.0038923711483777445,0.0008856060765236595,-0.05837277745865889,0.042125806703885584,99,94,0.5129533678756477,-0.00190484712147329,0.02894655657042331,0.021293090351862887,-0.03147570762862421,-0.02345030675048676,-0.004759860672552754,-0.0025432016913438196,0.0008674895241750098,-0.006292725453255643,-0.0010691371947555265,0.0024003543048778985,-0.007455040183480046,0.0003469480286326748,0.0035626690351023014,188,82,106,0,5,1,0.43617021276595747,192,67,120,5,1,1,0.3489583333333333,-0.007992128029946508,-0.0054665240150805205,-0.006645116668941734,-0.07325352867607637,-0.006586410380714898,-0.004503819716442351,-0.0034917169193102024,5,0.8,False,13,0.5384615384615384,False,False,False
pb_long_fail_rsi,5,291,290,1,49,5,0.006446121434534584,0.008678242149855686,-0.07205501664014155,0.07120463364200952,170,120,0.5862068965517241,0.006326184021853003,0.04386745213366457,0.030529959813530683,-0.036768642521381865,-0.020613126247815472,0.0042354186940775996,0.007129979000149155,0.002210702740456984,0.0021612652470414852,0.008297824136924505,0.004284856187493098,0.0012097027976103777,0.009432112736801498,0.005236418636924206,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,194,192,2,48,5,-0.007033469970645124,-0.0027551545108603914,-0.0690267226733091,0.049177069208633566,91,101,0.4739583333333333,-0.0048840755348367355,0.03568673376548468,0.028977010536708536,-0.04278578560817183,-0.03329517632226908,-0.008116154821099725,-0.005466446700647666,0.0010826848504546013,-0.009718338579020594,-0.003939990022067336,0.0026848686083754698,-0.01087674457240473,-0.0025007266368774744,0.0038432746017596064,188,82,106,0,5,1,0.43617021276595747,192,67,120,5,1,1,0.3489583333333333,-0.013479591405179708,-0.011433396660716078,-0.01121025955668974,-0.11224856321839077,-0.011268888664722723,-0.009194735217686609,-0.008243172768255501,5,1.0,False,13,0.38461538461538464,False,False,False
pb_long_fail_rsi,10,291,288,3,49,5,0.019277802895540888,0.011466863114495185,-0.06482082696512406,0.10818720169498272,165,123,0.5729166666666666,0.014010098952809249,0.06588364998926147,0.04756077226146582,-0.04912397132180077,-0.031354487653647733,0.016998679403723783,0.020000793404880483,0.0022791234918171054,0.014333449559249457,0.021275314332400406,0.004944353336291431,0.012225649203975807,0.022478957603315527,0.0070521536915650815,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,194,190,4,47,5,-0.010724913225560538,0.0033540068282150726,-0.12234213129164795,0.07477893532039565,98,92,0.5157894736842106,-0.007549687552597217,0.05163491896651691,0.0433037217564165,-0.06643107017596392,-0.041799268819959545,-0.012137790597681858,-0.009154460211771036,0.0014128773721213198,-0.014550725241560878,-0.006468714331281811,0.0038258120160003396,-0.01652035951208417,-0.0042290644847492185,0.0057954462865236304,188,82,106,0,5,1,0.43617021276595747,192,67,120,5,1,1,0.3489583333333333,-0.030002716121101426,-0.008112856286280112,-0.021559786505406464,-0.057127192982456054,-0.02772359262928432,-0.025058362784809995,-0.022950562429536345,5,0.8,False,12,0.5833333333333334,False,False,False
pb_long_fail_rsi,20,291,284,7,49,5,0.03064167878648003,0.013485567213067484,-0.08954793712826063,0.16416864128192574,172,112,0.6056338028169014,0.02449987743371431,0.09577077646875197,0.07646000508716555,-0.07138198196272136,-0.05325842954723092,0.028254447821795453,0.03206199448557684,0.002387230964684576,0.024581026023634163,0.033818276333956405,0.006060652762845866,0.022183705761712268,0.03555240981105116,0.008457973024767761,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,194,186,8,47,5,0.00344045602654711,-0.0025643969605814165,-0.13082216535991725,0.13053499785592781,90,96,0.4838709677419355,-0.00017737125739563395,0.07700958224656931,0.060024759144336026,-0.08544058076899502,-0.06176605366124299,-0.0004890985506443443,0.0050337533020336795,0.003929554577191454,-0.004364550142339317,0.0076751156268161655,0.007805006168886427,-0.006704478846403412,0.01003166636743668,0.010144934872950522,188,82,106,0,5,1,0.43617021276595747,192,67,120,5,1,1,0.3489583333333333,-0.02720122275993292,-0.0160499641736489,-0.024677248691109946,-0.12176283507496588,-0.024813991795248343,-0.021140569997087053,-0.018743249735165158,5,0.8,False,11,0.5454545454545454,False,False,False
pb_long_fail_touch,1,291,291,0,49,5,-1.9134267299348247e-05,0.0006197405641037435,-0.02799728662148948,0.026125737688043937,149,142,0.5120274914089347,0.00013547564880421286,0.015833930375817512,0.010998004875693912,-0.015242060232435106,-0.011161055848236678,-0.001092119455112961,0.00035076338597974196,0.0010729851878136126,-0.0015704232448068875,0.001005039201979323,0.0015512889775075392,-0.0020169662132068036,0.00158740944482751,0.0019978319459074555,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,0,,False,0,,False,False,True
pb_long_fail_touch,3,291,290,1,49,5,0.004099756881568764,0.00635213009160418,-0.050958421292674895,0.05452805672218599,170,120,0.5862068965517241,0.004740269547468444,0.032855420355146464,0.02220792618248113,-0.029511836911874666,-0.017114861608536536,0.002694039232337153,0.005012072289858159,0.0014057176492316107,0.0006114485680646066,0.006274417008555932,0.003488308313504157,-0.00040065422906754224,0.007357501414113454,0.004500411110636306,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,0,,False,0,,False,False,True
pb_long_fail_touch,5,291,290,1,49,5,0.006446121434534584,0.008678242149855686,-0.07205501664014155,0.07120463364200952,170,120,0.5862068965517241,0.006326184021853003,0.04386745213366457,0.030529959813530683,-0.036768642521381865,-0.020613126247815472,0.0042354186940775996,0.007129979000149155,0.002210702740456984,0.0021612652470414852,0.008297824136924505,0.004284856187493098,0.0012097027976103777,0.009432112736801498,0.005236418636924206,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,0,,False,0,,False,False,True
pb_long_fail_touch,10,291,288,3,49,5,0.019277802895540888,0.011466863114495185,-0.06482082696512406,0.10818720169498272,165,123,0.5729166666666666,0.014010098952809249,0.06588364998926147,0.04756077226146582,-0.04912397132180077,-0.031354487653647733,0.016998679403723783,0.020000793404880483,0.0022791234918171054,0.014333449559249457,0.021275314332400406,0.004944353336291431,0.012225649203975807,0.022478957603315527,0.0070521536915650815,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,0,,False,0,,False,False,True
pb_long_fail_touch,20,291,284,7,49,5,0.03064167878648003,0.013485567213067484,-0.08954793712826063,0.16416864128192574,172,112,0.6056338028169014,0.02449987743371431,0.09577077646875197,0.07646000508716555,-0.07138198196272136,-0.05325842954723092,0.028254447821795453,0.03206199448557684,0.002387230964684576,0.024581026023634163,0.033818276333956405,0.006060652762845866,0.022183705761712268,0.03555240981105116,0.008457973024767761,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,0,,False,0,,False,False,True
pb_long_fail_reclaim,1,291,291,0,49,5,-1.9134267299348247e-05,0.0006197405641037435,-0.02799728662148948,0.026125737688043937,149,142,0.5120274914089347,0.00013547564880421286,0.015833930375817512,0.010998004875693912,-0.015242060232435106,-0.011161055848236678,-0.001092119455112961,0.00035076338597974196,0.0010729851878136126,-0.0015704232448068875,0.001005039201979323,0.0015512889775075392,-0.0020169662132068036,0.00158740944482751,0.0019978319459074555,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,2497,2495,2,50,5,0.0011761003275333828,0.0013441168035708273,-0.02550724937805553,0.027780211427748995,1325,1160,0.531062124248497,0.0014136514502552163,0.015410079716840016,0.011718808506163914,-0.013380840013282344,-0.009386129103131635,0.001032430682407266,0.0012560170640881045,0.00014366964512611672,0.0009285756600747489,0.0014042440582174558,0.0002475246674586339,0.0008445782060924286,0.0015106543881230063,0.0003315221214409542,2447,1138,1305,4,42,8,0.46505925623212097,2468,1068,1322,78,8,21,0.4327390599675851,0.0011952345948327311,0.0007243762394670838,0.0012781758014510035,0.019034632839562304,0.0010515649497066144,0.0009477099273740971,0.0008637124733917768,5,0.8,False,31,0.5806451612903226,True,False,False
pb_long_fail_reclaim,3,291,290,1,49,5,0.004099756881568764,0.00635213009160418,-0.050958421292674895,0.05452805672218599,170,120,0.5862068965517241,0.004740269547468444,0.032855420355146464,0.02220792618248113,-0.029511836911874666,-0.017114861608536536,0.002694039232337153,0.005012072289858159,0.0014057176492316107,0.0006114485680646066,0.006274417008555932,0.003488308313504157,-0.00040065422906754224,0.007357501414113454,0.004500411110636306,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,2497,2489,8,50,5,0.00419312789561705,0.004661248642787275,-0.042592856949190634,0.05295397767826019,1389,1098,0.5580554439533949,0.004404140810593597,0.030898367976501244,0.02331349590037135,-0.026281149093060594,-0.018142685863555608,0.004077881634519086,0.004303923615382123,0.00011524626109796383,0.003882299068710628,0.004517439365357966,0.0003108288269064218,0.0037281826235228675,0.004685500058977936,0.0004649452720941823,2447,1138,1305,4,42,8,0.46505925623212097,2468,1068,1322,78,8,21,0.4327390599675851,9.337101404828605e-05,-0.0016908814488169055,-0.0003361287368748465,-0.028151452598329185,-2.1875247049677783e-05,-0.00021745781285813573,-0.00037157425804589623,5,0.6,True,31,0.4838709677419355,True,True,False
pb_long_fail_reclaim,5,291,290,1,49,5,0.006446121434534584,0.008678242149855686,-0.07205501664014155,0.07120463364200952,170,120,0.5862068965517241,0.006326184021853003,0.04386745213366457,0.030529959813530683,-0.036768642521381865,-0.020613126247815472,0.0042354186940775996,0.007129979000149155,0.002210702740456984,0.0021612652470414852,0.008297824136924505,0.004284856187493098,0.0012097027976103777,0.009432112736801498,0.005236418636924206,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,2497,2484,13,50,5,0.00922083184051544,0.00757676422448994,-0.05232227812657492,0.07281473553202912,1427,1057,0.5744766505636071,0.008399046909498038,0.042785639153051294,0.031747350518338435,-0.033746012694354885,-0.024353016920218074,0.00903551332386306,0.00934448020214994,0.0001853185166523809,0.008778939476737595,0.00956487759760883,0.0004418923637778457,0.008569539511803273,0.00975596975836271,0.0006512923287121681,2447,1138,1305,4,42,8,0.46505925623212097,2468,1068,1322,78,8,21,0.4327390599675851,0.002774710405980857,-0.0011014779253657458,0.0020728628876450347,-0.011730245988117005,0.0025893918893284762,0.0023328180422030114,0.002123418077268689,5,0.8,False,31,0.5806451612903226,False,False,False
pb_long_fail_reclaim,10,291,288,3,49,5,0.019277802895540888,0.011466863114495185,-0.06482082696512406,0.10818720169498272,165,123,0.5729166666666666,0.014010098952809249,0.06588364998926147,0.04756077226146582,-0.04912397132180077,-0.031354487653647733,0.016998679403723783,0.020000793404880483,0.0022791234918171054,0.014333449559249457,0.021275314332400406,0.004944353336291431,0.012225649203975807,0.022478957603315527,0.0070521536915650815,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,2497,2463,34,50,5,0.01662291119280938,0.013274095154478527,-0.06899387363083656,0.10687984910503445,1445,1017,0.5866829070239545,0.015036224365373463,0.06504177833317167,0.04879690591443642,-0.04797825737715702,-0.034137564756880456,0.016426002799232703,0.0167657766201324,0.0001969083935766773,0.016080461653651908,0.01704571263071561,0.0005424495391574725,0.015775262028344308,0.017318618992,0.0008476491644650724,2447,1138,1305,4,42,8,0.46505925623212097,2468,1068,1322,78,8,21,0.4327390599675851,-0.002654891702731508,0.001807232039983342,0.0010261254125642147,0.013766240357287907,-0.00037576821091440255,0.002289461633559923,0.004397261988833574,5,0.6,True,31,0.41935483870967744,False,True,False
