feature,bin,outcome_view,eligible,poor,poor_rate,all_approved_poor_rate,enrichment
bars_since_oversold,4,negative_return_20,53,18,0.33962264150943394,0.39436619718309857,0.8611859838274932
bars_since_oversold,4,stop_before_target_3_2,52,22,0.4230769230769231,0.5105633802816901,0.8286472148541114
bars_since_oversold,5,negative_return_5,53,26,0.49056603773584906,0.41379310344827586,1.1855345911949686
bars_since_oversold,5,negative_return_20,51,17,0.3333333333333333,0.39436619718309857,0.8452380952380952
bars_since_oversold,5,stop_before_target_3_2,51,26,0.5098039215686274,0.5105633802816901,0.9985125084516565
bars_since_squeeze,1,negative_return_5,55,19,0.34545454545454546,0.41379310344827586,0.8348484848484848
bars_since_squeeze,1,negative_return_20,55,18,0.32727272727272727,0.39436619718309857,0.8298701298701299
bars_since_squeeze,1,stop_before_target_3_2,54,28,0.5185185185185185,0.5105633802816901,1.015581098339719
bars_since_squeeze,2,negative_return_5,62,24,0.3870967741935484,0.41379310344827586,0.9354838709677419
bars_since_squeeze,2,negative_return_20,62,24,0.3870967741935484,0.39436619718309857,0.9815668202764978
bars_since_squeeze,2,stop_before_target_3_2,62,29,0.46774193548387094,0.5105633802816901,0.9161290322580645
bars_since_squeeze,3,negative_return_5,47,20,0.425531914893617,0.41379310344827586,1.0283687943262412
bars_since_squeeze,3,negative_return_20,46,21,0.45652173913043476,0.39436619718309857,1.1576086956521738
bars_since_squeeze,3,stop_before_target_3_2,45,19,0.4222222222222222,0.5105633802816901,0.8269731800766283
bars_since_squeeze,4,negative_return_5,53,22,0.41509433962264153,0.41379310344827586,1.0031446540880504
bars_since_squeeze,4,negative_return_20,53,19,0.3584905660377358,0.39436619718309857,0.9090296495956873
bars_since_squeeze,4,stop_before_target_3_2,53,26,0.49056603773584906,0.5105633802816901,0.960832791151594
bars_since_squeeze,5,negative_return_5,55,21,0.38181818181818183,0.41379310344827586,0.9227272727272727
bars_since_squeeze,5,negative_return_20,50,18,0.36,0.39436619718309857,0.9128571428571429
bars_since_squeeze,5,stop_before_target_3_2,53,27,0.5094339622641509,0.5105633802816901,0.9977878985035784
