module,symbol,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit
breakout,GOOGL,9,0,2,7,0,0.2222222222222222,0.21065030505435012,0.21065030505435012,-0.04386128226250955,-0.04166515359272005,0.012696848252348156,-0.04066576429298907,0.012696848252348156,1.372185178807321,12.777777777777779,11.0,-0.0817058787626379,-0.07340069765872478,-0.0817058787626379,1.0
breakout,GS,12,0,7,5,0,0.5833333333333334,0.06670429672731551,0.050812591836979726,-0.04846254949950368,-0.050095155551267756,0.01871811079947418,0.016021595851957393,0.01871811079947418,1.9269728147339444,18.416666666666668,17.0,-0.0709964214813733,-0.06212485644493744,-0.0709964214813733,0.9313747533602219
breakout,HD,8,0,2,6,0,0.25,0.01743710800542364,0.01743710800542364,-0.025819647750792724,-0.028055986191490634,-0.015005458811738634,-0.02149018641868783,-0.015005458811738634,0.2251141995135375,10.875,10.5,-0.04250424256206131,-0.0399552082699093,-0.04250424256206131,1.0
breakout,HON,6,0,3,3,0,0.5,0.04309214736606992,0.053115659278153204,-0.04208141642814763,-0.04702385352053784,0.0005053654689611461,0.0016415204538864914,0.0005053654689611461,1.0240184628682372,11.333333333333334,6.5,-0.07401827670074856,-0.06726967090569588,-0.07401827670074856,1.0
breakout,HOOD,12,0,7,5,0,0.5833333333333334,0.11896842171399413,0.13399426476465215,-0.0982285940282509,-0.09082670744835242,0.028469665154725366,0.025311206845255674,0.028469665154725366,1.6955937529930412,13.75,15.0,-0.1437077899233894,-0.11916989945125339,-0.1437077899233894,0.939212664334202
breakout,JPM,10,0,4,6,0,0.4,0.0428080521082333,0.04226957702915346,-0.02717278963483083,-0.025751996012915224,0.0008195470623948209,-0.018162565639970762,0.0008195470623948209,1.0502676312963897,15.5,13.5,-0.03792858931098919,-0.03763628545754477,-0.03792858931098919,1.0
breakout,LLY,21,0,8,13,0,0.38095238095238093,0.07235133911195082,0.05264768288880417,-0.033305477259410736,-0.02981723180891982,0.006944738501107952,-0.02149757382643136,0.006944738501107952,1.3368341983266172,12.714285714285714,10.0,-0.07505602680966805,-0.05658702953144046,-0.06582152817055426,0.9811156190530999
breakout,MA,9,0,4,5,0,0.4444444444444444,0.022977148967443795,0.02184073435667999,-0.028932108193191808,-0.02979915128920363,-0.005861327232909318,-0.021614908882919392,-0.005861327232909318,0.6353397772195719,11.444444444444445,7.0,-0.04054486304388594,-0.03664637348344486,-0.04054486304388594,1.0
breakout,META,10,0,5,5,0,0.5,0.10226940667245059,0.05506849725525176,-0.054869848007824594,-0.05209541832117115,0.023699779332312997,-0.0041420216016036515,0.023699779332312997,1.8638543824263316,16.8,13.0,-0.0671520363247643,-0.06510170454606784,-0.0671520363247643,1.0
breakout,MRVL,17,0,4,13,0,0.23529411764705882,0.1071915044203351,0.06303994113202771,-0.05986722032606143,-0.05255739741060772,-0.020559285091615184,-0.044258225260905504,-0.020559285091615184,0.5509192038726636,6.764705882352941,5.0,-0.1415971387436179,-0.10061768816906662,-0.1415971387436179,1.0
breakout,MS,11,0,4,7,0,0.36363636363636365,0.0912796502144348,0.034701206542112506,-0.041440001386790395,-0.037901375017951655,0.006821690104564218,-0.029726221334351544,0.006821690104564218,1.2586823932675075,12.545454545454545,7.0,-0.055832908578413054,-0.05568350900264846,-0.055832908578413054,1.0
breakout,MSFT,9,0,4,5,0,0.4444444444444444,0.06578329380421144,0.06314555898735108,-0.038299282384627986,-0.04132865266419927,0.007959640365967314,-0.026296299039731186,0.007959640365967314,1.3740893240467522,12.444444444444445,8.0,-0.04757766223185411,-0.046301443410980234,-0.04757766223185411,1.0
breakout,MU,15,0,8,7,0,0.5333333333333333,0.06123004376052285,0.026523037029844265,-0.06255925900744612,-0.05424986226512618,0.0034617024688039953,0.008850629377168628,0.0034617024688039953,1.118574516057486,11.866666666666667,10.0,-0.15228433900624183,-0.10063285466787773,-0.15228433900624183,0.9138190546025224
breakout,NFLX,11,0,4,7,0,0.36363636363636365,0.04512788973507653,0.04397802507372928,-0.03253320044318094,-0.030822978876267837,-0.0042928040147236805,-0.023003347362753446,-0.0042928040147236805,0.7926476710441804,16.545454545454547,17.0,-0.04926283568358192,-0.04805410396779575,-0.04926283568358192,1.0
breakout,NKE,1,0,0,1,0,0.0,,,-0.049813119429830244,-0.049813119429830244,-0.049813119429830244,-0.049813119429830244,-0.049813119429830244,0.0,5.0,5.0,-0.049813119429830244,-0.049813119429830244,-0.049813119429830244,
breakout,NOW,7,0,5,2,0,0.7142857142857143,0.025459223948312106,0.011346608299993344,-0.04821207899071556,-0.04821207899071556,0.004410280251447058,0.006043902473282792,0.004410280251447058,1.3201683313228887,11.428571428571429,10.0,-0.07881616156197446,-0.06045371201921912,-0.07881616156197446,1.0
breakout,NVDA,14,0,7,7,0,0.5,0.1441449826742241,0.015962141746754144,-0.05167130037927951,-0.053384709910931694,0.0462368411474723,-0.001711963226468216,0.0462368411474723,2.789652701135176,13.785714285714286,7.0,-0.07752759515746466,-0.07683831735239652,-0.07752759515746466,0.9978288363065653
breakout,ORCL,9,0,5,4,0,0.5555555555555556,0.022123405874295666,0.01889105939557889,-0.03460248649398881,-0.03231555887616644,-0.0030881018449418793,0.007317888391766836,-0.0030881018449418793,0.7991985589727407,10.0,10.0,-0.06111506169780312,-0.054136750546119175,-0.06111506169780312,1.0
breakout,PANW,15,0,6,9,0,0.4,0.0799892098230655,0.07129537761949856,-0.04823241901712125,-0.042169318516553145,0.0030562325189534465,-0.031229514768842614,0.0030562325189534465,1.1056078249592722,10.466666666666667,9.0,-0.09928727415436644,-0.07655551227929333,-0.09928727415436644,0.9980091948219284
breakout,PLTR,13,0,6,7,0,0.46153846153846156,0.03357332397412419,0.01702357249210129,-0.05762675246902022,-0.06361349188871734,-0.01553440949526126,-0.017747489228636892,-0.01553440949526126,0.4993711011293583,9.0,6.0,-0.10196071451246647,-0.08474981558087093,-0.10196071451246647,0.9666733436471001
breakout,QCOM,7,0,4,3,0,0.5714285714285714,0.03886530014642059,0.02673283562412576,-0.03562822612800306,-0.033738971241993654,0.006939503171667598,0.009320482257091811,0.006939503171667598,1.4544760103702632,7.285714285714286,7.0,-0.0509688318735394,-0.045799873684075676,-0.0509688318735394,1.0
breakout,ROKU,6,0,1,5,0,0.16666666666666666,0.06371136957017831,0.06371136957017831,-0.0799567032825812,-0.08588445161780567,-0.05601202447378795,-0.07433976366426814,-0.05601202447378795,0.15936467351589273,8.666666666666666,7.0,-0.11292694574608408,-0.11026348417820075,-0.11292694574608408,1.0
breakout,RTX,12,0,4,8,0,0.3333333333333333,0.06522468297930012,0.04549559974072004,-0.02417487993376559,-0.021241924642662502,0.005624974370589647,-0.0152401337898177,0.005624974370589647,1.3490177233145089,14.666666666666666,11.0,-0.05185025265236942,-0.04060587365902082,-0.05185025265236942,1.0
breakout,SHOP,13,0,1,12,0,0.07692307692307693,0.21857475955597283,0.21857475955597283,-0.06089453277839718,-0.06498564832415232,-0.03939689490652257,-0.05973764121693381,-0.03939689490652257,0.29911656211594795,7.846153846153846,6.0,-0.08502876433416373,-0.08352103768519312,-0.08502876433416373,1.0
breakout,SMCI,11,0,3,8,0,0.2727272727272727,0.21975679700889086,0.04289321877254526,-0.049210684179577205,-0.03868015771220745,0.024144083417277726,-0.015327365950175698,0.024144083417277726,1.6746119313767707,9.818181818181818,11.0,-0.13822502620668287,-0.1088656652160398,-0.13822502620668287,1.0
breakout,TSLA,10,0,4,6,0,0.4,0.08264250355089203,0.10459832157728943,-0.0789230660215725,-0.07809694224122599,-0.01429683819258668,-0.02768867194269703,-0.01429683819258668,0.6980849217414073,9.5,8.0,-0.16202942358134653,-0.13408816785084965,-0.16202942358134653,1.0
breakout,TSM,17,0,9,8,0,0.5294117647058824,0.03196268226737967,0.02514946597842549,-0.046971367556205554,-0.05603488936067158,-0.005182752943719256,0.00043475967881523303,-0.005182752943719256,0.7655305651421596,8.764705882352942,6.0,-0.10731163589001569,-0.07060516106937223,-0.10731163589001569,0.9131671460296618
breakout,UBER,8,0,2,6,0,0.25,0.13480432152603328,0.13480432152603328,-0.05048032742302674,-0.04548086776417132,-0.004159165185761732,-0.024070942439886778,-0.004159165185761732,0.8901442628423598,12.875,9.0,-0.11205946390479227,-0.09778969305212563,-0.11205946390479227,1.0
breakout,V,12,0,4,8,0,0.3333333333333333,0.03616927157715094,0.03307178383210185,-0.023486454432031983,-0.026045489433163094,-0.003601212428971009,-0.012859996687785813,-0.003601212428971009,0.7700028048469825,13.916666666666666,13.0,-0.04023518231209178,-0.036831303579081764,-0.04023518231209178,1.0
breakout,WMT,9,0,5,4,0,0.5555555555555556,0.06460988449899827,0.07229695868590236,-0.008470364616823156,-0.009741068528942243,0.032129773780855415,0.017752184105778168,0.032129773780855415,9.53469647142983,20.88888888888889,17.0,-0.011626829856081544,-0.011412249009803732,-0.011626829856081544,1.0
breakout,XOM,8,0,4,4,0,0.5,0.07244422597337019,0.0495109989227599,-0.018767756846248013,-0.015334061064223248,0.02683823456356109,0.005986021156383303,0.02683823456356109,3.8600364746228584,13.375,13.0,-0.034005788733722064,-0.029169449591758472,-0.034005788733722064,1.0
meanrev,AAPL,4,0,2,2,0,0.5,0.038656879662838595,0.038656879662838595,-0.016236559632002157,-0.016236559632002157,0.011210160015418219,0.01713426296656878,0.011210160015418219,2.3808541057334662,8.0,8.0,-0.02874775392887874,-0.024994395639815765,-0.02874775392887874,1.0
meanrev,ABNB,1,0,1,0,0,1.0,0.12532321566664706,0.12532321566664706,,,0.12532321566664706,0.12532321566664706,0.12532321566664706,inf,16.0,16.0,0.12532321566664706,0.12532321566664706,0.12532321566664706,1.0
meanrev,AMD,1,0,0,1,0,0.0,,,-0.05397289908030123,-0.05397289908030123,-0.05397289908030123,-0.05397289908030123,-0.05397289908030123,0.0,6.0,6.0,-0.05397289908030123,-0.05397289908030123,-0.05397289908030123,
meanrev,AMZN,1,0,0,1,0,0.0,,,-0.06005137675699679,-0.06005137675699679,-0.06005137675699679,-0.06005137675699679,-0.06005137675699679,0.0,3.0,3.0,-0.06005137675699679,-0.06005137675699679,-0.06005137675699679,
meanrev,AVGO,1,0,1,0,0,1.0,0.007077589132747919,0.007077589132747919,,,0.007077589132747919,0.007077589132747919,0.007077589132747919,inf,12.0,12.0,0.007077589132747919,0.007077589132747919,0.007077589132747919,1.0
meanrev,BAC,1,0,1,0,0,1.0,0.030453721903250353,0.030453721903250353,,,0.030453721903250353,0.030453721903250353,0.030453721903250353,inf,20.0,20.0,0.030453721903250353,0.030453721903250353,0.030453721903250353,1.0
