trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,observed_through,exit_timing,exit_stop_source,intrabar_exit_uncertain,excursion_data_valid,in_trade_mfe,in_trade_mae,in_trade_mfe_lower,in_trade_mfe_upper,in_trade_mae_lower,in_trade_mae_upper,mfe_bar,bars_to_mfe,realized_to_in_trade_mfe,in_trade_mfe_minus_realized,post_exit_horizon,post_exit_window_complete,post_exit_observed_bars,post_exit_mfe_from_entry,early_mae_known,early_mfe_upper,first_positive_close_bar,mae_before_positive_close,flat_first10,first_known_0.005,first_possible_0.005,first_known_0.010,first_possible_0.010,first_known_0.020,first_possible_0.020,first_known_0.030,first_possible_0.030,first_known_0.040,first_possible_0.040,regime,module,symbol,partition,year,holding_bucket,initial_risk_pct,realized_R,mfe_R
2,Long,2026-01-29,signal bar close,2026-01-30,140.47000122070312,6.134079516175319,128.2018421883525,8,1,2026-02-03,128.29263742500163,ATR_STOP,3,True,False,-0.086690138035727,2026-02-03,INTRABAR_STOP,TRAILING_STOP,True,True,0.007332517764263136,,0.007332517764263136,0.007332517764263136,-0.16352246758091216,-0.086690138035727,2026-01-30,0,-11.822697308451557,0.09402265579999014,20,True,17,0.0,-0.086690138035727,0.007332517764263136,,-0.07147439636700259,False,1.0,1.0,,,,,,,,,ADX 25-40,meanrev,SHOP,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3,,,
1,Long,2024-05-01,signal bar close,2024-05-02,68.4000015258789,2.540346603180417,63.31930831951807,8,1,2024-05-08,64.5,ATR_STOP,5,True,False,-0.05701756489586263,2024-05-08,OPEN,TRAILING_STOP,False,True,0.0792397375443723,-0.05701756489586263,0.0792397375443723,0.0792397375443723,-0.05701756489586263,-0.05701756489586263,2024-05-06,2,-0.7195577201897494,0.13625730244023493,20,True,16,0.0024853532917099574,-0.011330431412135078,0.0792397375443723,1.0,0.0,False,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,ADX 25-40,meanrev,UBER,IN-SAMPLE,2024,4-5,,,
2,Long,2024-08-06,signal bar close,2024-08-07,65.55999755859375,3.070144661301435,59.41970823599088,8,1,2024-09-06,70.45713561295602,ATR_STOP,22,True,False,0.07469704448944636,2024-09-06,INTRABAR_STOP,TRAILING_STOP,True,True,0.13605866581016346,-0.0010677196069395212,0.13605866581016346,0.13605866581016346,-0.0010677196069395212,-0.0010677196069395212,2024-08-20,9,0.5490061514616628,0.0613616213207171,20,True,0,,-0.0010677196069395212,0.05826723363450581,2.0,-0.0010677196069395212,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ADX 18-25,meanrev,UBER,IN-SAMPLE,2024,16+,,,
1,Long,2023-08-22,signal bar close,2023-08-23,126.9000015258789,4.039653549849068,118.82069442618076,8,1,2023-09-14,142.80351778520446,ATR_STOP,16,True,False,0.12532321566664706,2023-09-14,INTRABAR_STOP,TRAILING_STOP,True,True,0.19113472783112306,-0.021355390479802283,0.19113472783112306,0.19113472783112306,-0.021355390479802283,-0.021355390479802283,2023-09-12,13,0.6556799859907002,0.065811512164476,20,True,4,0.14223794488042074,-0.021355390479802283,0.018006272696922343,1.0,0.0,False,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,ADX 25-40,meanrev,ABNB,IN-SAMPLE,2023,16+,,,
1,Long,2025-03-12,signal bar close,2025-03-13,86.64250183105469,5.669563470045764,75.30337489096316,8,1,2025-03-28,88.7404822720921,ATR_STOP,12,True,False,0.024214218157369016,2025-03-28,INTRABAR_STOP,TRAILING_STOP,True,True,0.13308708758739352,-0.04600804162866312,0.13308708758739352,0.13308708758739352,-0.04600804162866312,-0.04600804162866312,2025-03-25,8,0.18194265571758347,0.1088728694300245,20,True,8,0.1041059116766343,-0.04600804162866312,0.07008678625966702,2.0,-0.04600804162866312,False,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,ADX 18-25,meanrev,CRWD,IN-SAMPLE,2025,11-15,,,
2,Long,2026-01-07,signal bar close,2026-01-08,119.55000305175781,3.7381970172974923,112.07360901716282,8,1,2026-01-15,112.62226174849839,ATR_STOP,6,True,False,-0.057948482864196516,2026-01-15,INTRABAR_STOP,TRAILING_STOP,True,True,0.0037431576362418895,,0.0037431576362418895,0.0037431576362418895,-0.05897116580336337,-0.057948482864196516,2026-01-08,0,-15.481176187486586,0.061691640500438405,20,True,14,0.018820576683932666,-0.03879133801133372,0.0037431576362418895,,-0.055290677052428294,False,,,,,,,,,,,ADX 25-40,meanrev,CRWD,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,6-10,,,
1,Long,2023-08-14,signal bar close,2023-08-15,109.24500274658203,3.812517938271852,101.61996687003833,8,1,2023-08-18,101.01000213623047,ATR_STOP,4,True,False,-0.07538102799497814,2023-08-18,OPEN,TRAILING_STOP,False,True,0.004805655941098053,-0.07538102799497814,0.004805655941098053,0.004805655941098053,-0.07538102799497814,-0.07538102799497814,2023-08-15,0,-15.685897808521474,0.0801866839360762,20,True,17,0.16357723161617654,-0.05309170127637053,0.004805655941098053,,-0.05309170127637053,False,,,,,,,,,,,ADX 25-40,meanrev,PANW,IN-SAMPLE,2023,4-5,,,
2,Long,2025-01-15,signal bar close,2025-01-16,176.0,5.6242914691648735,164.75141706167025,8,1,2025-01-29,185.51371471304066,ATR_STOP,9,True,False,0.054055197233185526,2025-01-29,INTRABAR_STOP,TRAILING_STOP,True,True,0.12352275848388672,-0.013749989596280154,0.12352275848388672,0.12352275848388672,-0.013749989596280154,-0.013749989596280154,2025-01-28,7,0.437613261690856,0.06946756125070119,20,True,11,0.1500568389892578,-0.013749989596280154,0.057670419866388434,1.0,0.0,False,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,ADX 25-40,meanrev,PANW,IN-SAMPLE,2025,6-10,,,
1,Long,2024-04-19,signal bar close,2024-04-22,185.99000549316406,3.6744786956506017,178.64104810186285,8,1,2024-05-20,198.96676382355577,ATR_STOP,21,True,False,0.06977126698815361,2024-05-20,INTRABAR_STOP,TRAILING_STOP,True,True,,-5.3818836116770186e-05,0.10247861172999584,0.10694122695952868,-5.3818836116770186e-05,-5.3818836116770186e-05,,,,,20,True,0,,-5.3818836116770186e-05,0.03892677036692227,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,ADX 25-40,meanrev,JPM,IN-SAMPLE,2024,16+,,,
2,Long,2025-03-14,signal bar close,2025-03-17,231.17999267578125,6.954207062041726,217.2715785516978,8,1,2025-03-28,242.52536768318868,ATR_STOP,10,True,False,0.0490759380865573,2025-03-28,INTRABAR_STOP,TRAILING_STOP,True,True,0.10160916271897125,-0.0031143956428955066,0.10160916271897125,0.10160916271897125,-0.0031143956428955066,-0.0031143956428955066,2025-03-26,7,0.48298732883264306,0.052533224632413944,20,True,10,0.06951296752896852,-0.0031143956428955066,0.0482308569449208,1.0,0.0,False,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,ADX 40+,meanrev,JPM,IN-SAMPLE,2025,6-10,,,
