module,configuration,year,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit,group_type,symbol
breakout,ATR2.25-DYNAMIC-TRENDON,2024.0,178,0,80,98,0,0.449438202247191,0.05692840902823228,0.03493137006814351,-0.03512983798345882,-0.029266202830334098,0.006244655055503471,-0.005377932728039325,0.006244655055503471,1.3228689143734016,10.264044943820224,8.0,-0.12933701093105043,-0.07210256407795317,-0.09811745169898362,0.22542736094663687,year,
breakout,ATR2.25-DYNAMIC-TRENDON,2025.0,125,0,48,77,0,0.384,0.060004288281137276,0.03306761105627021,-0.040493965987064826,-0.038617291466309434,-0.001902636348075224,-0.019252677747712554,-0.001902636348075224,0.9237245526595588,9.816,8.0,-0.1415971387436179,-0.07379836896802061,-0.09409030417751263,0.3682063655495991,year,
breakout,ATR2.25-DYNAMIC-TRENDON,2026.0,100,1,37,63,0,0.37,0.07923786034972362,0.04454599789147373,-0.046210449512776516,-0.04054486304388594,0.00020542513634854375,-0.014179360703329702,0.00020542513634854375,1.0070562318357783,9.5,7.0,-0.21953813037602288,-0.08622553760404822,-0.1328353034290341,0.45372287516478926,year,
breakout,ATR2.5-DYNAMIC-TRENDOFF,2021.0,25,0,6,19,0,0.24,0.03328220856384142,0.01873229938978971,-0.04702711948877444,-0.04565287177665278,-0.027752880756146632,-0.021360495159926107,-0.027752880756146632,0.22349170520495998,8.48,7.0,-0.13626032957856327,-0.10297662456205307,-0.12279960574588172,0.9769502562916014,year,
breakout,ATR2.5-DYNAMIC-TRENDOFF,2022.0,34,0,13,21,0,0.38235294117647056,0.053081912288214135,0.03146084629239465,-0.03419759450857355,-0.025131722934773837,-0.0008260183803900237,-0.007450784792187304,-0.0008260183803900237,0.960893065396025,12.588235294117647,12.5,-0.09928727415436644,-0.07395134458876339,-0.0932861727078606,0.7662818643395144,year,
breakout,ATR2.5-DYNAMIC-TRENDOFF,2023.0,112,0,48,64,0,0.42857142857142855,0.07377644066031541,0.032086495374129664,-0.04285541090747738,-0.0414113072080321,0.00712966833586239,-0.012768430247553864,0.00712966833586239,1.2911398893058383,13.285714285714286,11.5,-0.13822502620668287,-0.07470160775492567,-0.09689099909293325,0.5438152857867198,year,
breakout,ATR2.5-DYNAMIC-TRENDOFF,2024.0,166,0,79,87,0,0.4759036144578313,0.06783619917961205,0.04001896200604449,-0.04317680634523998,-0.03475593360850193,0.009654684235864287,-0.004224279032157607,0.009654684235864287,1.4266545623652418,13.234939759036145,10.5,-0.18238791459810988,-0.08142349083085079,-0.11290541226032197,0.24321585802127188,year,
breakout,ATR2.5-DYNAMIC-TRENDOFF,2025.0,115,0,45,70,0,0.391304347826087,0.0710486908415187,0.04776898614527747,-0.04595712129121022,-0.04278229980948778,-0.0001722382827510756,-0.021477284207526592,-0.0001722382827510756,0.9938428934376016,11.869565217391305,10.0,-0.16202942358134653,-0.08153605622139481,-0.11196985404928012,0.3233495694430857,year,
breakout,ATR2.5-DYNAMIC-TRENDOFF,2026.0,93,2,36,57,0,0.3870967741935484,0.08946867287164403,0.04584381395918147,-0.054534857891994616,-0.05185025265236942,0.001208444339091312,-0.0168514449313929,0.001208444339091312,1.036154350060521,12.78494623655914,10.0,-0.21953813037602288,-0.09413340191317737,-0.13583164708244005,0.4278802129702342,year,
breakout,ATR2.5-DYNAMIC-TRENDON,2021.0,25,0,6,19,0,0.24,0.03328220856384142,0.01873229938978971,-0.04245396112348273,-0.04565287177665278,-0.024277280398524934,-0.021360495159926107,-0.024277280398524934,0.24756632472652998,8.28,7.0,-0.10933888191320018,-0.0760733019650763,-0.09343323853533242,0.9769502562916014,year,
