partition,module_mask,horizon,modules,status,observations,complete,censored,symbols,years,mean,median,q10,q90,positive,negative,positive_rate,trimmed_mean,mean_mfe,median_mfe,mean_mae,median_mae,mean_without_top_1,mean_without_bottom_1,top_1_influence,mean_without_top_3,mean_without_bottom_3,top_3_influence,mean_without_top_5,mean_without_bottom_5,top_5_influence,target_3_stop_2_resolved,target_3_stop_2_target_before_stop_count,target_3_stop_2_stop_before_target_count,target_3_stop_2_neither_count,target_3_stop_2_ambiguous_count,target_3_stop_2_censored_count,target_3_stop_2_rate,target_5_stop_3_resolved,target_5_stop_3_target_before_stop_count,target_5_stop_3_stop_before_target_count,target_5_stop_3_neither_count,target_5_stop_3_ambiguous_count,target_5_stop_3_censored_count,target_5_stop_3_rate
holdout,3,1,Pullback + Breakout,LOW SAMPLE,21,21,0,15,2,0.003127790909723292,0.004760463183173025,-0.03463100870237534,0.04004585509136338,12,9,0.5714285714285714,0.002918074131418503,0.02198676434605548,0.017338435465561686,-0.010715438189324597,-0.008888649780598001,0.000789943906834617,0.005381042302862943,0.002337847002888675,-0.0038918340120421033,0.009996057509226306,0.007019624921765395,-0.00674234386255141,0.01289874255168831,0.009870134772274702,21,12,9,0,0,0,0.5714285714285714,21,9,12,0,0,0,0.42857142857142855
holdout,3,3,Pullback + Breakout,LOW SAMPLE,21,21,0,15,2,0.001357060130965598,0.005821986790539135,-0.040835564742818464,0.03462911199292229,13,8,0.6190476190476191,-3.608416524951174e-05,0.03418354005165718,0.027517427928291927,-0.02549999283992612,-0.012702955927440085,-0.004201338686737693,0.005553239139026095,0.005558398817703291,-0.009686337021428855,0.01158029728203619,0.011043397152394453,-0.013966441222734001,0.01711626364579845,0.015323501353699599,21,12,9,0,0,0,0.5714285714285714,21,9,12,0,0,0,0.42857142857142855
holdout,3,5,Pullback + Breakout,LOW SAMPLE,21,21,0,15,2,-0.005639436881903413,0.0007779970537078462,-0.060245803535113884,0.04272894593205767,11,10,0.5238095238095238,-0.006337893432893025,0.04168263152095132,0.03668409582044396,-0.03860523782524715,-0.023462434276055988,-0.01292952283617273,0.001318703751126038,0.007290085954269317,-0.020230184412236223,0.008638211896897507,0.01459074753033281,-0.025492519496967077,0.015551973303795888,0.019853082615063664,21,12,9,0,0,0,0.5714285714285714,21,9,12,0,0,0,0.42857142857142855
holdout,3,10,Pullback + Breakout,LOW SAMPLE,21,21,0,15,2,-0.015711685636210282,-0.02270288011964261,-0.0773584649575314,0.04317312352204383,7,14,0.3333333333333333,-0.022590181567672424,0.05355919966292472,0.0436081307995253,-0.0623914824809036,-0.05392397426310691,-0.026707769657181725,-0.01134080863361967,0.010996084020971443,-0.03463455249324728,-0.0031317332609393633,0.018922866857037,-0.042700009791625054,0.004862866121076073,0.026988324155414772,21,12,9,0,0,0,0.5714285714285714,21,9,12,0,0,0,0.42857142857142855
holdout,3,20,Pullback + Breakout,LOW SAMPLE,21,20,1,14,2,0.01390910227291412,-0.0055965547302949115,-0.09513411042897787,0.09465165399767457,9,11,0.45,0.012264287941481516,0.08190017717962947,0.06549965419994386,-0.08236258271814689,-0.08034488845826782,-7.651586540304962e-05,0.025262476444750256,0.013985618138317168,-0.012723917079402772,0.04068890423951077,0.026633019352316892,-0.025976559464385898,0.05221019672656179,0.039885661737300016,21,12,9,0,0,0,0.5714285714285714,21,9,12,0,0,0,0.42857142857142855
holdout,5,1,Pullback + Squeeze,LOW SAMPLE,2,2,0,2,1,0.019742440348682555,0.019742440348682555,0.010078917247145247,0.02940596345021986,2,0,1.0,0.019742440348682555,0.02503117660786014,0.02503117660786014,0.007819501295477649,0.007819501295477649,0.00766303647176092,0.03182184422560419,0.012079403876921635,,,,,,,2,2,0,0,0,0,1.0,2,1,0,1,0,0,0.5
holdout,5,3,Pullback + Squeeze,LOW SAMPLE,2,2,0,2,1,0.031744536147340296,0.031744536147340296,0.0211814985401682,0.0423075737545124,2,0,1.0,0.031744536147340296,0.0348252303104456,0.0348252303104456,0.006764213615008785,0.006764213615008785,0.018540739138375173,0.04494833315630542,0.013203797008965124,,,,,,,2,2,0,0,0,0,1.0,2,1,0,1,0,0,0.5
holdout,5,5,Pullback + Squeeze,LOW SAMPLE,2,2,0,2,1,0.027217010327033164,0.027217010327033164,0.00014416243340125215,0.05428985822066508,1,1,0.5,0.027217010327033164,0.04302625149063921,0.04302625149063921,0.00481600163868523,0.00481600163868523,-0.006624049540006727,0.061058070194073055,0.03384105986703989,,,,,,,2,2,0,0,0,0,1.0,2,1,0,1,0,0,0.5
holdout,5,10,Pullback + Squeeze,LOW SAMPLE,2,2,0,2,1,0.04002063697741676,0.04002063697741676,0.021122256493647563,0.058919017461185955,2,0,1.0,0.04002063697741676,0.07083565882759091,0.07083565882759091,0.00481600163868523,0.00481600163868523,0.016397661372705263,0.06364361258212825,0.023622975604711494,,,,,,,2,2,0,0,0,0,1.0,2,1,0,1,0,0,0.5
holdout,5,20,Pullback + Squeeze,LOW SAMPLE,2,2,0,2,1,0.039492931817563415,0.039492931817563415,0.02590032068390182,0.05308554295122501,2,0,1.0,0.039492931817563415,0.07083565882759091,0.07083565882759091,0.00481600163868523,0.00481600163868523,0.022502167900486425,0.056483695734640404,0.01699076391707699,,,,,,,2,2,0,0,0,0,1.0,2,1,0,1,0,0,0.5
