hypothesis_id,group,group_value,a_n,b_n,a_mean,b_mean,delta,expected_direction
breakout:filter:bo_long_fail_price,symbol,QCOM,9,59,-0.0273706260669589,0.0014401088808051184,0.028810734947764018,1
breakout:filter:bo_long_fail_price,symbol,ROKU,4,35,-0.18694232316801168,-0.023531212240004942,0.16341111092800675,1
breakout:filter:bo_long_fail_price,symbol,RTX,12,67,0.0035449145779863724,0.00863700415840112,0.0050920895804147485,1
breakout:filter:bo_long_fail_price,symbol,SHOP,13,57,-0.022781872102702157,0.030616416519691866,0.05339828862239403,1
breakout:filter:bo_long_fail_price,symbol,SMCI,20,102,0.05903441633666764,0.013859465984145457,-0.045174950352522183,1
breakout:filter:bo_long_fail_price,symbol,TSLA,11,56,0.058171133512623645,0.0007428106597084987,-0.057428322852915145,1
breakout:filter:bo_long_fail_price,symbol,TSM,26,62,0.0029921162003503535,0.0014284591560411264,-0.001563657044309227,1
breakout:filter:bo_long_fail_price,symbol,UBER,15,51,0.003352201615408745,0.034233941560013324,0.03088173994460458,1
breakout:filter:bo_long_fail_price,symbol,V,18,53,-0.007171793864115156,-0.002007272350303121,0.005164521513812035,1
breakout:filter:bo_long_fail_price,symbol,WMT,15,85,0.029914265167369967,0.015322023921499985,-0.014592241245869983,1
breakout:filter:bo_long_fail_price,symbol,XOM,9,61,-0.012111875615746991,-0.012331581931840679,-0.00021970631609368775,1
breakout:filter:bo_long_fail_volume,year,2021,42,20,-0.004697286463519158,-0.04398392645202293,-0.03928663998850378,-1
breakout:filter:bo_long_fail_volume,year,2022,53,47,-0.008621527636765403,-0.005477531037921992,0.003143996598843411,-1
breakout:filter:bo_long_fail_volume,year,2023,224,154,0.011497848713654129,0.004713885354477546,-0.006783963359176582,-1
breakout:filter:bo_long_fail_volume,year,2024,311,223,0.01888031397803563,0.0003788487593688564,-0.018501465218666774,-1
breakout:filter:bo_long_fail_volume,year,2025,150,128,0.00021107253389210712,-0.003868834053051255,-0.004079906586943362,-1
breakout:filter:bo_long_fail_volume,symbol,AAPL,25,23,0.005196059465230523,-0.005328796835343109,-0.010524856300573631,-1
