cohort,group,group_value,horizon,observations,complete,censored,symbols,years,mean,median,q10,q90,positive,negative,positive_rate,trimmed_mean,mean_mfe,median_mfe,mean_mae,median_mae,mean_without_top_1,mean_without_bottom_1,top_1_influence,mean_without_top_3,mean_without_bottom_3,top_3_influence,mean_without_top_5,mean_without_bottom_5,top_5_influence,target_3_stop_2_resolved,target_3_stop_2_target_before_stop_count,target_3_stop_2_stop_before_target_count,target_3_stop_2_neither_count,target_3_stop_2_ambiguous_count,target_3_stop_2_censored_count,target_3_stop_2_rate,target_5_stop_3_resolved,target_5_stop_3_target_before_stop_count,target_5_stop_3_stop_before_target_count,target_5_stop_3_neither_count,target_5_stop_3_ambiguous_count,target_5_stop_3_censored_count,target_5_stop_3_rate
bo_long_fail_rsi,symbol,LLY,3,10,10,0,1,3,-0.0020981836335784987,0.0008917884542082866,-0.02291305690280636,0.0234933972588553,5,5,0.5,0.0026252108986864753,0.018646065298754688,0.023469464698126163,-0.03147352157099984,-0.014838766868078501,-0.007244318678350477,0.007246524328762345,0.005146135044771978,-0.015250654591275867,0.013299147541362109,0.013152470957697369,-0.023384898829664325,0.019188531562507327,0.021286715196085826,10,6,4,0,0,0,0.6,10,6,4,0,0,0,0.6
bo_long_fail_rsi,symbol,LLY,5,10,10,0,1,3,0.0008385283536126553,0.00793273096530589,-0.025266176966711372,0.03529391535830721,8,2,0.8,0.012970762145695924,0.025289738985575703,0.02908990462264771,-0.03390369025587107,-0.014838766868078501,-0.0035781877371911706,0.01603945225960161,0.004416716090803826,-0.014341719761014171,0.021796188205925566,0.015180248114626826,-0.026351005217032576,0.028028061924257885,0.02718953357064523,10,6,4,0,0,0,0.6,10,6,4,0,0,0,0.6
bo_long_fail_rsi,symbol,LLY,10,10,10,0,1,3,0.0013649666138749628,0.015277611616317577,-0.0353884520938907,0.04894658263860094,7,3,0.7,0.01912418453506866,0.03387340522536305,0.03056460907500913,-0.0406764554437837,-0.014838766868078501,-0.005667912151305675,0.024183816864561107,0.007032878765180638,-0.020735929953711874,0.03402291312969367,0.022100896567586837,-0.04168610636401267,0.04441603959176259,0.04305107297788763,10,6,4,0,0,0,0.6,10,6,4,0,0,0,0.6
bo_long_fail_rsi,symbol,LLY,20,10,10,0,1,3,0.022559639514884666,0.04806692986022176,-0.062253595399558645,0.09920657689794389,7,3,0.7,0.03792287503182361,0.06431364890354413,0.09246275745725363,-0.04648107357051194,-0.015661673981259394,0.0119084791010687,0.0468670092770908,0.010651160413815966,-0.011523038563227577,0.0705684734346473,0.034082678078112244,-0.04487560570910607,0.0899948847388754,0.06743524522399073,10,6,4,0,0,0,0.6,10,6,4,0,0,0,0.6
bo_long_fail_rsi,symbol,MA,1,9,9,0,1,3,-0.003859203416729567,-0.0029052045221764633,-0.012801087760150653,0.005488492152086844,3,6,0.3333333333333333,-0.003859203416729567,0.004780446871915429,0.006693617236860794,-0.008400358101147205,-0.006235625140469381,-0.005191574432275942,-0.0025585935980988045,0.0013323710155463747,-0.007995664283178217,0.0005436223732128709,0.00413646086644865,-0.010614897789318928,0.0026579912322215182,0.006755694372589361,9,3,6,0,0,0,0.3333333333333333,9,3,4,2,0,0,0.3333333333333333
bo_long_fail_rsi,symbol,MA,3,9,9,0,1,3,-0.00471176440128751,-0.007568902404157862,-0.025118895120977824,0.014311692310219074,4,5,0.4444444444444444,-0.00471176440128751,0.008517448770694467,0.00824866988601669,-0.017928469584985913,-0.015199097045854315,-0.008279422872654901,-0.0017167112946003399,0.003567658471367391,-0.014160623820908805,0.004494046018415039,0.009448859419621295,-0.020447669236223986,0.011738424934366554,0.015735904834936476,9,3,6,0,0,0,0.3333333333333333,9,3,4,2,0,0,0.3333333333333333
bo_long_fail_rsi,symbol,MA,5,9,9,0,1,3,-0.0010056173490548487,-0.0016431691705417473,-0.026423712964396717,0.021304007485033874,4,5,0.4444444444444444,-0.0010056173490548487,0.011825253571330796,0.00865405086015536,-0.02411489998235909,-0.022980401509367643,-0.005298294760505987,0.0022569683815167746,0.004292677411451138,-0.012459800955363162,0.00979625942491713,0.011454183606308312,-0.019280557570334478,0.017428710827596505,0.01827494022127963,9,3,6,0,0,0,0.3333333333333333,9,3,4,2,0,0,0.3333333333333333
bo_long_fail_rsi,symbol,MA,10,9,9,0,1,3,0.012096276008945892,-0.0016408064924118282,-0.016877362889619007,0.053248401422497295,4,5,0.4444444444444444,0.012096276008945892,0.03264969097837519,0.030302319676711154,-0.026939976082934844,-0.027253720983841045,0.006797104680045449,0.01654759618241637,0.005299171328900443,-0.007429695043480289,0.02613344219028252,0.01952597105242618,-0.01359180121554196,0.041218623858773173,0.025688077224487852,9,3,6,0,0,0,0.3333333333333333,9,3,4,2,0,0,0.3333333333333333
bo_long_fail_rsi,symbol,MA,20,9,9,0,1,3,0.014094642114572366,0.019489093529748036,-0.04094920973861762,0.0624946111849094,6,3,0.6666666666666666,0.014094642114572366,0.0403270218594932,0.032128341499675805,-0.030870349636035285,-0.027253720983841045,0.006884562552685089,0.024362222778787593,0.0072100795618872775,-0.00988760689476644,0.041460425379496235,0.023982249009338805,-0.027363848287809495,0.05420451966316031,0.041458490402381865,9,3,6,0,0,0,0.3333333333333333,9,3,4,2,0,0,0.3333333333333333
bo_long_fail_rsi,symbol,META,1,6,6,0,1,3,0.002577288443675829,0.001586603111922269,-0.009373037237029147,0.015518299456134366,3,2,0.5,0.002577288443675829,0.01632506703942564,0.011718726253368228,-0.006111417803614239,-0.003118806890823056,-0.0020993896170019124,0.0063631861624388495,0.0046766780606777416,-0.006248691491352765,0.011403268378704423,0.008825979935028594,-0.016352200150139273,0.025960678747064536,0.018929488593815103,6,2,4,0,0,0,0.3333333333333333,6,2,4,0,0,0,0.3333333333333333
